0:0:2 | [CMD] ahmet55(6) => /buybus
17:23:47 | {FFCC00}xqHost(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:23:48 | [CMD] ZORLU(9) => /c tamam baþlattým
17:23:49 | [A.s.i]KraL(20): :D
17:23:49 | [CMD] xqHost(15) => /sirket
17:23:50 | TIRCI(22): hýc naper
17:23:52 | DangerTr07(10): suclularý aledin 
17:23:52 | [CMD] ZORLU(9) => /pm 9 la
17:23:52 | [SWAT]DeaD[POH](7): danger cek
17:23:53 | [A.s.i]KraL(20): çek
17:23:55 | [CMD] Lolery71(6) => /c yöneticiliði feerezere ver
17:23:57 | [CMD] TIRCI(22) => /work
17:23:59 | [CMD] oktayacar(14) => /pm 2 lutfeen abi yardým
17:23:59 | [CMD] DangerTr07(10) => /get 7 
17:24:0 | [CMD] DangerTr07(10) => /get 20
17:24:1 | [CMD] xqHost(15) => /gobus
17:24:4 | DangerTr07(10): ahýra tarim 
17:24:5 | [CMD] oktayacar(14) => /pm 22 lutfeen abi yardým
17:24:5 | [CMD] Sancak(11) => /sirket
17:24:5 | [CMD] ZORLU(9) => /c nasýl
17:24:6 | Freezer3543(18): Yoneticilik nasýl veriliyo aga 
17:24:9 | [OBAN] testere151(17) agareis150'i 1 gün offline banladi. Sebep: bug
17:24:9 | [CMD] testere151(17) => /ban2 agareis150 1 bug
17:24:9 | [CMD] Sancak(11) => /atamir
17:24:10 | [SWAT]DeaD[POH](7): benimi danger
17:24:11 | [CMD] DangerTr07(10) => /Fly
17:24:13 | Lolery71(6): s
17:24:13 | [CMD] oktayacar(14) => /meslek
17:24:16 | Sancak(11): Seri Taþýmacýlýga Alým Vardýr!
17:24:18 | [CMD] Sancak(11) => /atamir
17:24:20 | DangerTr07(10): yok þunu d
17:24:21 | ZORLU(9): yöneticlik nasýl veriliyor beyler
17:24:21 | [SWAT]DeaD[POH](7): Beni alirmisn
17:24:21 | [CMD] TIRCI(22) => /pm 14 daha rahatsýz edersen ss alýrým 
17:24:22 | oktayacar(14): ben
17:24:25 | [CMD] Sancak(11) => /uyeal 7
17:24:26 | [CMD] oktayacar(14) => /pm 22 tm
17:24:27 | [CMD] xqHost(15) => /convoy
17:24:27 | [CMD] Sancak(11) => /uyeal 14
17:24:28 | Lolery71(6): convoy liderliði baþkasýna nasýl verebiliriz ?
17:24:29 | TEXAST5(19): @9 bey a7 adminler verebilir 
17:24:29 | xqHost(15): zorlu
17:24:31 | oktayacar(14): saðol
17:24:33 | [CMD] oktayacar(14) => /sirket
17:24:35 | berat7345(8): ZORLU Üst Düzey Yöneticiler Verebilir. 
17:24:36 | Hic(16):  /convoylider
17:24:37 | [CMD] xqHost(15) => /convoy
17:24:37 | DangerTr07(10): saldirim len 
17:24:42 | DangerTr07(10): yakarim burayi 
17:24:43 | [CMD] ZORLU(9) => /convoylider
17:24:43 | xqHost(15): zorlu
17:24:46 | [CMD] TEXAST5(19) => /car turismo 3 3 
17:24:46 | [CMD] ZORLU(9) => /convoylider 18
17:24:49 | [CMD] Freezer3543(18) => /work
17:24:49 | ZORLU(9): verdim freeze
17:24:50 | [CMD] TEXAST5(19) => /kemer 
17:24:53 | xqHost(15): zorlu
17:24:53 | DangerTr07(10): kümsün sen cevik :D 
17:24:55 | [CMD] ZORLU(9) => /c freeze takip
17:24:57 | [CMD] TEXAST5(19) => /atamir 
17:24:59 | [CMD] Sancak(11) => /god
17:25:0 | [CMD] TEXAST5(19) => /atamir 
17:25:1 | ZORLU(9): efendim xqhost
17:25:2 | [CMD] Sancak(11) => /atamir
17:25:3 | [CMD] TEXAST5(19) => /atamir 
17:25:4 | xqHost(15): Nerdesiniz
17:25:5 | [CMD] oktayacar(14) => /rescue
17:25:5 | [SirketCHT] [SWAT]DeaD[POH](7): ! Yusuf
17:25:6 | [CMD] Lolery71(6) => /c görev ne zmaan baþlatcan
17:25:8 | ZORLU(9): konvoy da
17:25:8 | [CMD] xqHost(15) => /convoy
17:25:8 | berat7345(8): danger cumburbaþkaný nerde
17:25:8 | Sancak(11): t! ?
17:25:9 | [CMD] ZORLU(9) => /c durun
17:25:10 | [SirketCHT] Sancak(11): ! ?
17:25:10 | [CMD] ZORLU(9) => /c durun
17:25:12 | [SirketCHT] [SWAT]DeaD[POH](7): ! Bura maas vericekmi
17:25:12 | DangerTr07(10): öldü qnq 
17:25:13 | [CMD] ZORLU(9) => /c durun adam glicek
17:25:13 | xqHost(15): harbour mu
17:25:13 | [eN]Overlord(13) oyuna girdi [IP: 95.13.74.173]
17:25:14 | [CMD] Freezer3543(18) => /tiryazi Convoy
17:25:15 | ZORLU(9): gelicen mi
17:25:16 | [CMD] xqHost(15) => /resue
17:25:16 | ZORLU(9): aynen
17:25:17 | [A.s.i]KraL(20): :D
17:25:18 | xqHost(15): he
17:25:19 | DangerTr07(10): öldürdüler
17:25:19 | ZORLU(9): hýzlý ol ama
17:25:19 | [CMD] xqHost(15) => /convoy
17:25:21 | [CMD] TEXAST5(19) => /atamir 
17:25:21 | DangerTr07(10): gömdük bile 
17:25:22 | berat7345(8): putin öldürdü demi
17:25:22 | [CMD] xqHost(15) => /rescue
17:25:23 | ZORLU(9): hýzlý ol aga
17:25:24 | [SirketCHT] [SWAT]DeaD[POH](7): ! Normalda maas vermiyolar demistiler
17:25:26 | HeRquL(21) oyuna girdi [IP: 176.33.248.251]
17:25:27 | [CMD] ZORLU(9) => /c bekleyin
17:25:27 | Hic(16): Bende Mezarýmdan Hortladým
17:25:28 | 
17:25:28 | [CMD] ZORLU(9) => /c bekleyin
17:25:30 | [SirketCHT] Sancak(11): ! kim demiþ
17:25:31 | Hic(16): Beni kim öldürdü ?
17:25:32 | [SirketCHT] TEXAST5(19): ! veriyoz 
17:25:33 | {FFCC00}[eN]Overlord(13) {FFFFFF}Kamyoncu olarak spawn oldu.
17:25:33 | [CMD] ZORLU(9) => /c bekleyin freeze
17:25:36 | [CMD] Freezer3543(18) => /c Tamam beklemedyiz
17:25:38 | [eN]Overlord(13): hÝC
17:25:39 | 
17:25:39 | [CMD] xqHost(15) => /c relog atýp gelcem
17:25:40 | xqHost(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:25:40 | {FFCC00}HeRquL(21) {FFFFFF}Kamyoncu olarak spawn oldu.
17:25:41 | [eN]Overlord(13): Hic*
17:25:41 | DangerTr07(10): yakarim romayida yakarim 
17:25:42 | [SirketCHT] testere151(17): ! veriyoruz kim diyo vermiyo diye
17:25:43 | [SirketCHT] [SWAT]DeaD[POH](7): ! Tamam O zaman Kasiyorum Iyi oyunlar
17:25:44 | [CMD] HeRquL(21) => /admgiris
17:25:44 | DangerTr07(10): burayida yakarim 
17:25:45 | Hic(16): Neden vuruyon beni ?
17:25:45 | berat7345(8): hem önümüze çýkýp twerk yapyýo
17:25:46 | Hic(16): ?
17:25:47 | [CMD] Hic(16) => /tamir
17:25:48 | [eN]Overlord(13): R2 Hayýrlý olsun
17:25:49 | texelginedomuzu546(15) oyuna girdi [IP: 85.100.54.69]
17:25:50 | [SirketCHT] [SWAT]DeaD[POH](7): ! Sancak
17:25:51 | [CMD] Infazci(12) => /pm 9 çýkýcam ya
17:25:51 | [CMD] Hic(16) => /kemer
17:25:53 | berat7345(8): hem de baþkanýmýzý öldürüyo
17:25:53 | [SirketCHT] TEXAST5(19): ! siz farkýnda olmuyorsuýnuz 
17:25:53 | [SirketCHT] Sancak(11): ! ?
17:25:54 | [LOCAL][eN]Overlord(13): herqul
17:25:54 | [CMD] [eN]Overlord(13) => /L herqul
17:25:54 | [CMD] ZORLU(9) => /pm 12 nere
17:25:55 | [A.s.i]KraL(20): neyse bb
17:25:56 | Hic(16): Tþk. caným
17:25:56 | [A.s.i]KraL(20) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:25:57 | [CMD] Lolery71(6) => /c hadi kardeþim hýzlý yaw
17:25:58 | [SirketCHT] [SWAT]DeaD[POH](7): ! seni oyuncu sikayete bekliyorum
17:26:0 | [SirketCHT] TEXAST5(19): ! offline iken veriyoruz biz 
17:26:1 | [CMD] TEXAST5(19) => /atamir 
17:26:2 | xqHost(20) oyuna girdi [IP: 176.33.167.164]
17:26:3 | [LOCAL][eN]Overlord(13): ne bu sunucunun hali
17:26:3 | [CMD] [eN]Overlord(13) => /l ne bu sunucunun hali
17:26:3 | [CMD] HeRquL(21) => /sa
17:26:4 | berat7345(8): bu adam sakat 
17:26:4 | 
17:26:5 | [CMD] ZORLU(9) => /pm 12 nere la
17:26:5 | [CMD] testere151(17) => /as
17:26:5 | [CMD] berat7345(8) => /asü
17:26:6 | [CMD] [eN]Overlord(13) => /as
17:26:6 | [CMD] TEXAST5(19) => /as 
17:26:7 | [CMD] Infazci(12) => /pm 9 sýkýcý
17:26:7 | [CMD] berat7345(8) => /as
17:26:8 | [LOCAL]HeRquL(21): ? 
17:26:8 | [CMD] HeRquL(21) => /l ? 
17:26:9 | {FFCC00}texelginedomuzu546(15) {FFFFFF}Polis olarak spawn oldu.
17:26:9 | Hic(16): Aleyküm Selam
17:26:10 | [CMD] ZORLU(9) => /pm 12 mk
17:26:12 | Hic(16): Can res
17:26:12 | DangerTr07(10): cumburbaþkanýný oktay vurdu öldürün 
17:26:12 | 
17:26:13 | [CMD] Sancak(11) => /a beyler maaþlarý kim veriyorsa her hafta ss alsýn
17:26:14 | {FFCC00}xqHost(20) {FFFFFF}Kamyoncu olarak spawn oldu.
17:26:15 | [CMD] xqHost(20) => /rescue
17:26:16 | [LOCAL][eN]Overlord(13): þirkettekþ araölara  ne oldu
17:26:16 | [CMD] [eN]Overlord(13) => /L þirkettekþ araölara  ne oldu
17:26:16 | [CMD] Infazci(12) => /pm 9 serverdeyim ben
17:26:17 | [CMD] ZORLU(9) => /pm 12 sen bilin ben burdayým ne yapam kanka
17:26:17 | [CMD] Hic(16) => /aractanat
17:26:17 | [CMD] xqHost(20) => /convoy
17:26:18 | berat7345(8): oktaaay
17:26:19 | [CMD] Hic(16) => /aractanat 14
17:26:20 | [CMD] Infazci(12) => /pm 9 tm
17:26:20 | Infazci(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:26:22 | [LOCAL][eN]Overlord(13): Þirketteki araçlara
17:26:22 | [CMD] [eN]Overlord(13) => /L Þirketteki araçlara
17:26:22 | [CMD] Lolery71(6) => /convoyayril
17:26:22 | [CMD] ZORLU(9) => /pm 12 senin sw demi
17:26:23 | oktayacar(14): yo ben deðil
17:26:24 | Hic(16): can res
17:26:24 | [CMD] TEXAST5(19) => /a ben vermedim 
17:26:25 | oktayacar(14): yo ben deðil
17:26:26 | [CMD] Lolery71(6) => /work
17:26:28 | [CMD] DangerTr07(10) => /A bir rest at rest :D 
17:26:32 | [CMD] Sancak(11) => /atamir
17:26:32 | Sancak testere151'i öldürdü. Oldurme Sekli: 0
17:26:34 | [CMD] Freezer3543(18) => /c Gorev basladý nasýl geldi la :D
17:26:35 | testere151(17) Mafya olarak spawn oldu.
17:26:36 | [LOCAL][eN]Overlord(13): ayrýca kendi araçlarýmýzýn üstünde þirket aracý yazýyor
17:26:36 | [CMD] [eN]Overlord(13) => /l ayrýca kendi araçlarýmýzýn üstünde þirket aracý yazýyor
17:26:37 | [CMD] testere151(17) => /a ben unuttum daðýtmayý
17:26:38 | [CMD] [eN]Overlord(13) => /araba
17:26:38 | [CMD] Freezer3543(18) => /convoyuye
17:26:38 | [CMD] ZORLU(9) => /pm 20 nerdesin
17:26:39 | oktayacar(14): danger vurdu
17:26:41 | oktayacar(14): danger vurdu
17:26:42 | Hic(16): can res gram caným kaldý oktay yüzünden
17:26:43 | [CMD] xqHost(20) => /c geliyom zorlu
17:26:45 | [LOCAL][eN]Overlord(13): baksana þuna
17:26:45 | [CMD] [eN]Overlord(13) => /l baksana þuna
17:26:45 | berat7345(8): dangeer
17:26:45 | DangerTr07(10): asda 
17:26:47 | [CMD] testere151(17) => /goto 11
17:26:48 | oktayacar(14): danger vurdu hici danger öldürdü
17:26:48 | [CMD] Sancak(11) => /a kadir seninde aklýna skm her hafta unutuyon
17:26:50 | [CMD] berat7345(8) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Bir Þarký Açýlmýþtýr. 
17:26:51 | DangerTr07(10): ben krumayim nasil vurcan 
17:26:53 | [CMD] TIRCI(22) => /work
17:26:54 | [CMD] ZORLU(9) => /sac
17:26:56 | [CMD] xqHost(20) => /sac
17:26:58 | [eN]Overlord(13): Sancak
17:26:59 | oktayacar(14): vurdun
17:27:0 | Sancak(11): ?
17:27:1 | [CMD] ZORLU(9) => /sac
17:27:2 | Hic(16): Can res atsanýza bea
17:27:3 | DangerTr07(10): dead 
17:27:3 | [eN]Overlord(13): reis sunucuda bug var
17:27:3 | berat7345(8): sen vurursun þeytan tüylü
17:27:5 | DangerTr07(10): nerde o asi
17:27:6 | oktayacar(14): sen vatan hayinisin
17:27:7 | [CMD] Freezer3543(18) => /tamir
17:27:13 | oktayacar(14): ben koruma
17:27:15 | DangerTr07(10): dead ile oktay vurdu öldürün :D
17:27:15 | [CMD] xqHost(20) => /c kardeþim harbour boþ yav
17:27:16 | oktayacar(14): :D
17:27:18 | [CMD] xqHost(20) => /c nerdesiniz siz
17:27:19 | TEXAST5(19): @13 
17:27:22 | [CMD] DangerTr07(10) => /car elgy 0 0 
17:27:22 | Hic(16): OKtay sen kötü tarafdaydýn
17:27:22 | [SWAT]DeaD[POH](7): benmi 
17:27:23 | oktayacar(14): anam dead kac
17:27:24 | [CMD] Freezer3543(18) => /c Az ilerle
17:27:25 | [CMD] ZORLU(9) => /c lan
17:27:26 | [SWAT]DeaD[POH](7): ben vurmadim
17:27:26 | oktayacar(14): anam dead kac
17:27:27 | [CMD] DangerTr07(10) => /car elegy 0 0
17:27:28 | [CMD] Hic(16) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ?  
17:27:29 | [SWAT]DeaD[POH](7): sen kac
17:27:29 | [CMD] Hic(16) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz...  
17:27:30 | DangerTr07(10): atla 
17:27:31 | xqHost(20) oyundan cIktI (Hata/Crash) (IP: 176.33.167.164)
17:27:33 | [CMD] DangerTr07(10) => /modifiye
17:27:37 | [LOCAL][SWAT]DeaD[POH](7): hadi oktayi bulalim
17:27:37 | [CMD] [SWAT]DeaD[POH](7) => /l hadi oktayi bulalim
17:27:39 | [CMD] oktayacar(14) => /pm 13 knk
17:27:40 | TIRCI(22): sancak ev slotlarý bosya nasýl doldurcaz 
17:27:41 | [CMD] texelginedomuzu546(15) => /basarimlar
17:27:41 | xqHost(12) oyuna girdi [IP: 176.33.167.164]
17:27:42 | [CMD] testere151(17) => /a ne yapayým her hafta ben daðýtýyorum benden baþka daðýtan yok akýl gidiyo 
17:27:42 | [SWAT]DeaD[POH](7): Treni biri suruyor
17:27:43 | [SWAT]DeaD[POH](7): Treni biri suruyor
17:27:43 | [CMD] Lolery71(6) => /work
17:27:44 | [CMD] [eN]Overlord(13) => /pm 14 ?
17:27:46 | [CMD] Sancak(11) => /asay Beyler Sunucuya Res Atýlýrsa Sunucu Açýlmaz 2 Saat Daha Ýdare Edin.
17:27:46 | [LOCAL]DangerTr07(10): bug o
17:27:46 | [CMD] DangerTr07(10) => /l bug o
17:27:46 | [CMD] Sancak(11) => /asay Beyler Sunucuya Res Atýlýrsa Sunucu Açýlmaz 2 Saat Daha Ýdare Edin.
17:27:46 | berat7345(8): baþkana bi fatiha okuyalým
17:27:46 | [CMD] Sancak(11) => /asay Beyler Sunucuya Res Atýlýrsa Sunucu Açýlmaz 2 Saat Daha Ýdare Edin.
17:27:47 | [CMD] Sancak(11) => /asay Beyler Sunucuya Res Atýlýrsa Sunucu Açýlmaz 2 Saat Daha Ýdare Edin.
17:27:47 | [CMD] ZORLU(9) => /motor
17:27:48 | [CMD] TEXAST5(19) => /cleanupcars 
17:27:48 | [CMD] DangerTr07(10) => /kemer
17:27:49 | Hic(16): Kim ?
17:27:50 | [CMD] Sancak(11) => /atamir
17:27:52 | 
17:27:53 | {FFCC00}xqHost(12) {FFFFFF}Kamyoncu olarak spawn oldu.
17:27:53 | [CMD] oktayacar(14) => /pm 13 zor zamana duþtum yardým eder misin
17:27:54 | [SWAT]DeaD[POH](7): Bug olabilir
17:27:54 | [CMD] xqHost(12) => /convoy
17:27:57 | DangerTr07(10): enesin mezara iþedim rahatim 
17:28:0 | [CMD] xqHost(12) => /convoy
17:28:0 | [eN]Overlord(13): @7 birisi sürmüyor sunucuda bug var sabahtan baktým trenciler týrcý rengi almýþ
17:28:1 | berat7345(8): XD
17:28:3 | [CMD] xqHost(12) => /rescue
17:28:3 | [eN]Overlord(13): hatta foruma attým
17:28:8 | [CMD] [eN]Overlord(13) => /pm 14 ne gibi yardým
17:28:8 | [SWAT]DeaD[POH](7): Danger olsede kan yemez
17:28:9 | [CMD] Hic(16) => /meslek
17:28:9 | [CMD] xqHost(12) => /convoy
17:28:12 | {FFCC00}Hic(16) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
17:28:15 | DangerTr07(10): pü be 
17:28:17 | [CMD] oktayacar(14) => /pm 13 500k atabilir misin
17:28:18 | [CMD] Hic(16) => /goto 10
17:28:19 | [eN]Overlord(13): ya olum arabamda þirket aracý yazýyor
17:28:20 | berat7345(8): ondan meyva suyu çýkar
17:28:23 | [CMD] TIRCI(22) => /work
17:28:23 | Hic(16): Can res
17:28:23 | [CMD] [eN]Overlord(13) => /Pm 14 þu an yok
17:28:23 | [CMD] Sancak(11) => /atamir
17:28:24 | DangerTr07(10): kim o 
17:28:26 | [CMD] TEXAST5(19) => /plane 
17:28:26 | [CMD] xqHost(12) => /c freezer
17:28:26 | [CMD] DangerTr07(10) => /CAntazele
17:28:26 | Hic(16): Ben
17:28:28 | [CMD] oktayacar(14) => /pm 13 yardým eder misin bana
17:28:29 | [CMD] Lolery71(6) => /convoy
17:28:31 | [CMD] [eN]Overlord(13) => /pm 14 olsa atardým
17:28:32 | [CMD] Freezer3543(18) => /c Efem
17:28:33 | ZORLU(9): ADMÝNLER TÜRKCE BÝR ÞARKI ACARMISINIZ
17:28:33 | DangerTr07(10): atla 
17:28:34 | [CMD] TEXAST5(19) => /a tren týrcý rengi almýþ 
17:28:37 | [CMD] DangerTr07(10) => /uyar 9 caps off
17:28:38 | [CMD] xqHost(12) => /c yükü nerden alcaz harbour mu
17:28:38 | Hic(16): @9 Caps kapa
17:28:39 | [CMD] oktayacar(14) => /pm 13 ya lutfen artýk alýcam ya
17:28:40 | berat7345(8):  /istekasrki 
17:28:41 | [CMD] berat7345(8) => /asay Sunucuda Çalmasýný Ýstediðiniz Þarkýyý ''/isteksarki <id>'' Ýle DJ'lere Bildirebilirsiniz.
17:28:43 | [CMD] Freezer3543(18) => /c Kastamonu
17:28:44 | [LOCAL]DangerTr07(10): atla len 
17:28:44 | [CMD] DangerTr07(10) => /l atla len 
17:28:46 | [CMD] [eN]Overlord(13) => /pm 14 ne alýcan
17:28:47 | [CMD] TEXAST5(19) => /a birinin sürebilme ihtimaline karþý kontrol etcem 
17:28:48 | [LOCAL]testere151(17): sakin lo 
17:28:48 | [CMD] testere151(17) => /l sakin lo 
17:28:51 | [CMD] ZORLU(9) => /istekasrki
17:28:51 | [CMD] Freezer3543(18) => /c Pardon tugayogullarý
17:28:53 | [CMD] oktayacar(14) => /pm 13 aðlýcam artýk
17:28:54 | [CMD] ZORLU(9) => /isteksarki
17:28:54 | [CMD] Sancak(11) => /atamir
17:28:55 | Hic(16): Burlarda inf býraktým ben
17:28:55 | [CMD] testere151(17) => /kemer
17:28:57 | [CMD] Freezer3543(18) => /c Cok ozur dilerim
17:28:57 | [CMD] testere151(17) => /god
17:28:58 | [CMD] [eN]Overlord(13) => /Pm 14 neden ki
17:28:58 | [CMD] ZORLU(9) => /isteksarki 13
17:28:58 | [CMD] oktayacar(14) => /pm 13 aðlýcam artýk ya
17:29:0 | [CMD] berat7345(8) => /asay Ýsteðiniz Sýraya Alýnmýþtýr. 
17:29:2 | [CMD] xqHost(12) => /c öd
17:29:4 | Hic(16): Gitmiþ lo
17:29:5 | [CMD] [eN]Overlord(13) => /modifiye
17:29:6 | [CMD] Hic(16) => /sac
17:29:10 | [CMD] oktayacar(14) => /pm 13 bi þu 500kyi kasamadým
17:29:12 | Lolery71(6): görev baþlat
17:29:16 | [CMD] Sancak(11) => /admins
17:29:17 | [CMD] oktayacar(14) => /pm 13 aðlýcam artýk ya
17:29:18 | [CMD] DangerTr07(10) => /A sancak ibrahimhkk'dada seri patron yaziyordu jasdaj d
17:29:21 | [CMD] [eN]Overlord(13) => /pm 14 olm 500k'yý nabýcaksýn
17:29:25 | [CMD] HeRquL(21) => /sirket
17:29:26 | berat7345(8): týr bizim arabadan iyi yakýyor ya
17:29:26 | [eN]Overlord(13): bune lan
17:29:27 | [CMD] Hic(16) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
17:29:29 | [CMD] Hic(16) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz...  
17:29:30 | [CMD] oktayacar(14) => /pm 13 ya 500k lazým
17:29:30 | [CMD] Sancak(11) => /aa bi mod bulsak kendi sunucumuzu açarýz da
17:29:31 | [LOCAL]testere151(17): res atýlýnca kapanmasýný düzeltsek iyi olur
17:29:31 | [CMD] testere151(17) => /l res atýlýnca kapanmasýný düzeltsek iyi olur
17:29:32 | [CMD] Sancak(11) => /aa mod bulamadýk
17:29:35 | [CMD] texelginedomuzu546(15) => /ogorev 19
17:29:36 | [CMD] HeRquL(21) => /a bu buglar nerden üredi böyle
17:29:36 | [CMD] testere151(17) => /aa ayn
17:29:39 | [eN]Overlord(13): fps çok düþüyo
17:29:40 | [CMD] oktayacar(14) => /pm 13 arac almama 50ok kaldý
17:29:42 | [LOCAL][SWAT]DeaD[POH](7): mezarliga gidelim
17:29:42 | [CMD] [SWAT]DeaD[POH](7) => /l mezarliga gidelim
17:29:43 | [eN]Overlord(13): normalde böyle deðildi
17:29:44 | [CMD] oktayacar(14) => /pm 13 arac almama 500k kaldý
17:29:48 | [LOCAL][SWAT]DeaD[POH](7): bende isiyeyim
17:29:48 | [CMD] [SWAT]DeaD[POH](7) => /l bende isiyeyim
17:29:48 | [CMD] [eN]Overlord(13) => /Pm 14 ne araç alýcan
17:29:49 | [CMD] Sancak(11) => /atamir
17:29:52 | [CMD] texelginedomuzu546(15) => /ogorev 17
17:29:53 | [CMD] Freezer3543(18) => /tamir
17:29:54 | [CMD] oktayacar(14) => /pm 13 bi türlü birikmiyo
17:29:55 | berat7345(8): sorun sendedir bende ani düþüþlr  yok
17:29:59 | HeRquL(21): senden kanaykýlýdr @13 
17:30:0 | [CMD] xqHost(12) => /C freeze açýk dorse almýþsýn yalnýz
17:30:0 | TIRCI(22): arac res 
17:30:0 | [CMD] oktayacar(14) => /pm 13 bufallo
17:30:1 | [LOCAL]Hic(16): Bence suyu çýktý artýk
17:30:1 | [CMD] Hic(16) => /l Bence suyu çýktý artýk
17:30:2 | [CMD] texelginedomuzu546(15) => /rescue
17:30:2 | [CMD] TIRCI(22) => /rescue
17:30:4 | [CMD] Hic(16) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler...  
17:30:5 | [CMD] testere151(17) => /aa o deðilde 50 tane mesaj geliyo þu gruptan mk Q:WE
17:30:7 | HeRquL(21): kaynaklýdýr*
17:30:7 | [CMD] berat7345(8) => /asay Ýstek Þarkýnýz Açýlmýþtýr. 
17:30:7 | [CMD] Sancak(11) => /a ibizayý alak mo SA:Dsa:D
17:30:8 | [LOCAL]DangerTr07(10): aynen :D 
17:30:8 | [CMD] DangerTr07(10) => /l aynen :D 
17:30:9 | [LOCAL][SWAT]DeaD[POH](7): neyin
17:30:9 | [CMD] [SWAT]DeaD[POH](7) => /l neyin
17:30:9 | [CMD] Sancak(11) => /cc
17:30:11 | [CMD] xqHost(12) => /C freeze açýk dorse almýþsýn yalnýz
17:30:11 | TEXAST5(19): araç res geliyor 
17:30:13 | [CMD] Sancak(11) => /aa ibizayý alakmý :ASD
17:30:13 | TIRCI(22): arac res 
17:30:15 | [LOCAL][SWAT]DeaD[POH](7): neyin
17:30:15 | [CMD] [SWAT]DeaD[POH](7) => /l neyin
17:30:16 | [CMD] berat7345(8) => /asay Sunucuda Çalmasýný Ýstediðiniz Þarkýyý ''/isteksarki <id>'' Ýle DJ'lere Bildirebilirsiniz.
17:30:16 | [CMD] Freezer3543(18) => /c Onemi yok :D
17:30:16 | [CMD] DangerTr07(10) => /A niye satiyorlarmi :D 
17:30:17 | [CMD] TEXAST5(19) => /a olm bizden beklemeyin la :d 
17:30:17 | [CMD] [eN]Overlord(13) => /araba
17:30:18 | [CMD] testere151(17) => /a olur :D
17:30:18 | [CMD] oktayacar(14) => /pm 13 bufallo aklacam
17:30:19 | [CMD] TEXAST5(19) => /respawncars 
17:30:21 | [CMD] xqHost(12) => /c baþlamaz ki
17:30:21 | [CMD] TEXAST5(19) => /cantazele 
17:30:22 | [CMD] Sancak(11) => /aa 5 milyar ister galiba :D
17:30:28 | [CMD] [eN]Overlord(13) => /pm 14 olsa 
17:30:31 | [CMD] testere151(17) => /aa öhh
17:30:33 | [CMD] HeRquL(21) => /dtemizle
17:30:33 | [CMD] Freezer3543(18) => /c Bende gorev var
17:30:33 | [CMD] [eN]Overlord(13) => /pm 14 köpeðin olsun senin 500k
17:30:33 | [CMD] xqHost(12) => /c görev baþlamaz
17:30:37 | [CMD] [eN]Overlord(13) => /gobus
17:30:38 | [CMD] xqHost(12) => /c bizde yok
17:30:38 | [CMD] Hic(16) => /goto 10
17:30:40 | [CMD] testere151(17) => /aa para olsa direk alýrdýk
17:30:40 | [CMD] oktayacar(14) => /pm 13 derken
17:30:42 | [CMD] Sancak(11) => /aa sunucuda en az günlük 70-80 üye var 
17:30:42 | [CMD] DangerTr07(10) => /Cantazele
17:30:44 | [CMD] TEXAST5(19) => /cleanupcars 
17:30:48 | [CMD] TEXAST5(19) => /bike 
17:30:49 | [CMD] [eN]Overlord(13) => /pm 14 olsa verirdim anlamýnda
17:30:49 | [CMD] Freezer3543(18) => /convoyayril
17:30:50 | [CMD] TIRCI(22) => /kemer
17:30:53 | [CMD] testere151(17) => /aa 2500 sen 2500 ben koyardýk alýrdýk
17:30:54 | [CMD] [eN]Overlord(13) => /pm 14 98k param var
17:30:57 | [SWAT]DeaD[POH](7): Hic
17:30:58 | xqHost(12): .
17:30:58 | [CMD] berat7345(8) => /admins
17:30:59 | [CMD] TIRCI(22) => /kemer
17:31:0 | Freezer3543(18): C res
17:31:0 | Hic(16): Heð ?
17:31:1 | [CMD] [eN]Overlord(13) => /pm 14 evini satsana
17:31:2 | [CMD] Sancak(11) => /aa aynn
17:31:2 | [CMD] TIRCI(22) => /kemer
17:31:4 | Freezer3543(18): Aga harbour geri gelin :D
17:31:5 | [SWAT]DeaD[POH](7): ayaklarini yika olm
17:31:6 | [CMD] TIRCI(22) => /work
17:31:7 | [CMD] oktayacar(14) => /pm 13 iþyerin varmý senin
17:31:7 | [CMD] TEXAST5(19) => /cantazele 
17:31:7 | [LOCAL]DangerTr07(10): bugün baya takildik iyidi demi 
17:31:7 | [CMD] DangerTr07(10) => /l bugün baya takildik iyidi demi 
17:31:8 | DangerTr07(10): jasjda 
17:31:8 | [CMD] Freezer3543(18) => /rescue
17:31:11 | [CMD] oktayacar(14) => /pm 13 iþyerin varmý senin knk
17:31:11 | xqHost(12): geliyoz
17:31:11 | [CMD] Freezer3543(18) => /goreviptal
17:31:12 | [LOCAL]Hic(16): Aynen bea
