0:0:1 | [CMD] Jodor(12) => /vipler 
18:12:46 | 
18:12:47 | [LOCAL]Freezer3543(15): bi dk
18:12:47 | [CMD] Freezer3543(15) => /l bi dk
18:12:47 | [CMD] Grejuva(11) => /work
18:12:48 | {FFCC00}[eN]Overlord(7) {FFFFFF}Polis olarak spawn oldu.
18:12:49 | [CMD] Freezer3543(15) => /meslek
18:12:51 | Freezer3543(15) Mafya olarak spawn oldu.
18:12:55 | [CMD] BoykoXD(8) => /work
18:12:57 | [CMD] Freezer3543(15) => /rescue
18:13:1 | [CMD] BoykoXD(8) => /goreviptal
18:13:4 | [CMD] BoykoXD(8) => /meslek
18:13:6 | [CMD] Hic(0) => /sac
18:13:7 | BoykoXD(8) Balikci olarak spawn oldu.
18:13:8 | [CMD] [eN]Overlord(7) => /dagit
18:13:10 | [CMD] BoykoXD(8) => /dtemizle
18:13:10 | [CMD] Grejuva(11) => /tamir
18:13:13 | TIRCI(19): ben hambour belese gecmeyý býlýyom :{
18:13:14 | [CMD] [eN]Overlord(7) => /dsa
18:13:16 | [CMD] [eN]Overlord(7) => /sa
18:13:16 | [CMD] Jodor(28) => /sirket
18:13:18 | [CMD] TIRCI(19) => /as
18:13:19 | [KAMYONCU] [tr]gamgam, Easter Bay Lumberyard'den Angel Pine Sawmill'e Agac Parcalari tasidi. Kazanc: 13080$, 2 Skor ve 5 EXP Sure: 220 Saniye
18:13:19 | Hic(0): Aleyküm Selam Hoþgeldin.
18:13:19 | [CMD] Grejuva(11) => /as
18:13:20 | TIRCI(19): hg
18:13:21 | CagatayBro(9): beleþe geçmek yasak sanýrým 
18:13:21 | [CMD] [eN]Overlord(7) => /kemer
18:13:22 | [CMD] CagatayBro(9) => /as
18:13:23 | [CMD] BoykoXD(8) => /work
18:13:23 | Dark_Alone_(10) oyuna girdi [IP: 149.140.19.74]
18:13:24 | [eN]Overlord(7): eyw hb
18:13:24 | [CMD] BoykoXD(8) => /kemer
18:13:26 | CagatayBro(9): uyarý veriyorlardý en son
18:13:27 | TIRCI(19): evet yasa 
18:13:28 | [CMD] Freezer3543(15) => /meslek
18:13:28 | kiral(17): freezer
18:13:30 | 
18:13:31 | agareis150(26): rehber diver chamils nerde götür beni
18:13:32 | 
18:13:34 | [CMD] Freezer3543(15) => /rescue
18:13:36 | Dark_Alone_(10) Gemici olarak spawn oldu.
18:13:36 | [CMD] [tr]gamgam(20) => /work
18:13:37 | Hic(0): Bilmiyorum
18:13:37 | [CMD] Freezer3543(15) => /rescue
18:13:38 | [CMD] BoykoXD(8) => /goreviptal
18:13:39 | Dark_Alone_(10): sa
18:13:41 | [CMD] BoykoXD(8) => /meslek
18:13:42 | [CMD] TIRCI(19) => /as
18:13:42 | [CMD] CagatayBro(9) => /as
18:13:43 | Hic(0): Hiç gitmedim
18:13:44 | [CMD] [eN]Overlord(7) => /as
18:13:44 | agareis150(26): nasýl rehbersin sen
18:13:44 | [CMD] Grejuva(11) => /as
18:13:45 | [CMD] Dark_Alone_(10) => /rescue
18:13:46 | Hic(0): Aleyküm Selam Hoþgeldin.
18:13:56 | [CMD] [tr]gamgam(20) => /goreviptla
18:13:56 | BoykoXD(8) Oduncu olarak spawn oldu.
18:13:58 | [CMD] Freezer3543(15) => /tamir
18:13:59 | Hic(0): Yeni sayýlýrým
18:14:0 | CagatayBro(9): @26 kardeþim dolaþ bak oralara
18:14:1 | [CMD] [tr]gamgam(20) => /goreviptal
18:14:3 | [CMD] Freezer3543(15) => /work
18:14:4 | [CMD] [tr]gamgam(20) => /meslek
18:14:12 | [tr]gamgam(20) Yol Iscisi olarak spawn oldu.
18:14:12 | [CMD] CagatayBro(9) => /akilitle
18:14:12 | [CMD] BoykoXD(8) => /work
18:14:13 | Hic(0): Harbour'un oralarda olduðunu biliyorum sadece
18:14:13 | agareis150(26): boyko sen götür
18:14:14 | [CMD] CagatayBro(9) => /kemer
18:14:17 | [CMD] Hic(0) => /goto 26
18:14:22 | [CMD] Hic(0) => /goto 26
18:14:23 | [CMD] BoykoXD(8) => /goreviptal
18:14:25 | [CMD] Hic(0) => /tamir
18:14:25 | [CMD] BoykoXD(8) => /goto 26
18:14:27 | [CMD] [tr]gamgam(20) => /work
18:14:28 | CagatayBro(9): @26 araban var mý
18:14:30 | Hic(0): Þua olabilir
18:14:33 | Hic(0): bi takip et
18:14:36 | [LOCAL]BoykoXD(8): nereye
18:14:36 | [CMD] BoykoXD(8) => /l nereye
18:14:40 | [CMD] Freezer3543(15) => /tamir
18:14:42 | agareis150(26): diver chamil
18:14:43 | [CMD] kiral(17) => /overlord
18:14:48 | kiral(17): sf ye gelsene
18:14:54 | Dark_Alone_(10): s
18:14:58 | [CMD] TIRCI(19) => /kemer
18:14:59 | agareis150(26): diver chamils
18:15:1 | kiral(17): overlord
18:15:5 | BoykoXD(8): Harbour lo orasý heralde
18:15:13 | merve123(12) oyuna girdi [IP: 94.123.200.71]
18:15:15 | [CMD] CagatayBro(9) => /work
18:15:16 | [LOCAL]BoykoXD(8): dur
18:15:16 | [CMD] BoykoXD(8) => /l dur
18:15:17 | [CMD] Hic(0) => /tamir
18:15:22 | [CMD] BoykoXD(8) => /fly
18:15:23 | kiral(17): sf ye gelsene overlord sana diyem
18:15:28 | Dark_Alone_(10) oyundan cIktI (Hata/Crash) (IP: 149.140.19.74)
18:15:30 | 
18:15:32 | BoykoXD(8): Takip
18:15:38 | Hic(0): Þura galiba lo
18:15:43 | [CMD] Grejuva(11) => /work
18:15:44 | Dark_Alone_(10) oyuna girdi [IP: 212.253.111.194]
18:15:44 | [LOCAL]TIRCI(19): ben 5 dk afk ýsým var
18:15:44 | [CMD] TIRCI(19) => /l ben 5 dk afk ýsým var
18:15:45 | Hic(0): Birsürü maðazanýn olduðu yer
18:15:55 | [eN]Overlord(7): efendim
18:15:56 | [LOCAL]Grejuva(11): ok
18:15:56 | [CMD] Grejuva(11) => /l ok
18:15:58 | merve123(12) oyundan cIktI (Hata/Crash) (IP: 94.123.200.71)
18:16:7 | [eN]Overlord(7): olum kapýya polis geldi
18:16:13 | [CMD] Hic(0) => /asay Animasyonlara bakmak için /animlist yazmanýz yeterlidir... 
18:16:14 | [CMD] Hic(0) => /asay Hep ayný mesleði yapmaktanmý sýkýldýn ? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz... 
18:16:15 | [eN]Overlord(7): abim polislikte level atlamýþ
18:16:23 | merve123(12) oyuna girdi [IP: 94.123.200.71]
18:16:24 | kiral(17): overlord
18:16:28 | Dark_Alone_(10) oyundan cIktI (Hata/Crash) (IP: 212.253.111.194)
18:16:28 | [eN]Overlord(7): ?
18:16:29 | CagatayBro(9): @10 sen ehliyet mi aldýn
18:16:29 | kiral(17): sf ye gel
18:16:30 | [CMD] [eN]Overlord(7) => /rescue
18:16:31 | agareis150(26): bura deðil
18:16:34 | merve123(12) 60 saniye içinde giriþ yapmadýðý için tekmelendi
18:16:35 | merve123(12) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
18:16:42 | [eN]Overlord(7): SF deyim zaten
18:16:48 | [CMD] [eN]Overlord(7) => /kemer
18:16:51 | kiral(17): tmm yanýma gel
18:16:51 | Dark_Alone_(10) oyuna girdi [IP: 212.253.111.194]
18:16:52 | Hic(0): agareis150 taqip et
18:16:53 | [CMD] Hic(0) => /sac
18:16:57 | [LOCAL]Freezer3543(15): Ýceri gel
18:16:57 | [CMD] Freezer3543(15) => /l Ýceri gel
18:16:57 | [eN]Overlord(7): nerdesin
18:17:0 | 
18:17:3 | Dark_Alone_(10) Gemici olarak spawn oldu.
18:17:4 | [CMD] BoykoXD(8) => /dtemizle
18:17:6 | [CMD] Freezer3543(15) => /kemer
18:17:6 | nik0tin(12) oyuna girdi [IP: 88.251.69.167]
18:17:12 | kiral(17): kargocu yerinndeyim
18:17:14 | [CMD] Dark_Alone_(10) => /araba
18:17:15 | [CMD] Hic(0) => /tamir
18:17:16 | [CMD] BoykoXD(8) => /kemer
18:17:17 | [eN]Overlord(7): tamam
18:17:20 | [CMD] agareis150(26) => /vipler
18:17:20 | merve123(13) oyuna girdi [IP: 94.123.200.71]
18:17:28 | [CMD] BoykoXD(8) => /pm 0 orayý ilk defa duyuyorum 
18:17:29 | 
18:17:30 | [CMD] [tr]gamgam(20) => /goreviptal
18:17:30 | [CMD] CagatayBro(9) => /work
18:17:31 | [eN]Overlord(7): bekle orda
18:17:32 | 
18:17:34 | [CMD] [tr]gamgam(20) => /meslek
18:17:36 | nik0tin(12) Pizzaci olarak spawn oldu.
18:17:41 | [CMD] BoykoXD(8) => /pm 0 öyle bi yer varmý ya
18:17:41 | [CMD] Hic(0) => /pm 8 ben duydum ama yerinden pek emin deðilim
18:17:42 | [CMD] [eN]Overlord(7) => /tamir
18:17:42 | [CMD] nik0tin(12) => /admgiris 
18:17:47 | [CMD] BoykoXD(8) => /atamir
18:17:47 | [CMD] Freezer3543(15) => /tamir
18:17:49 | [CMD] BoykoXD(8) => /fuel
18:17:49 | [CMD] CagatayBro(9) => /skapat
18:17:50 | Hic(0): pm aç Boyko
18:17:50 | merve123(13) oyundan cIktI (Hata/Crash) (IP: 94.123.200.71)
18:17:51 | [CMD] nik0tin(12) => /sa 
18:17:53 | [CMD] [eN]Overlord(7) => /as
18:17:54 | Hic(0): Aleyküm Selam Hoþgeldin.
18:17:54 | [CMD] BoykoXD(8) => /pmon
18:17:55 | [CMD] Freezer3543(15) => /as
18:17:55 | [CMD] Jodor(28) => /as
18:17:57 | [CMD] [tr]gamgam(20) => /meslek
18:17:57 | BoykoXD(8): Açtým
18:17:59 | [CMD] Grejuva(11) => /as
18:18:0 | nik0tin(12): hb 
18:18:1 | [CMD] Hic(0) => /pm 8 ben duydum ama yerinden pek emin deðilim
18:18:1 | Freezer3543(15): Reislerin dibi geldi
18:18:3 | [CMD] Dark_Alone_(10) => /rescue
18:18:5 | [CMD] Freezer3543(15) => /work
18:18:9 | [LOCAL]kiral(17): freezer bekle polis geliyo az bekle burda
18:18:9 | [CMD] kiral(17) => /l freezer bekle polis geliyo az bekle burda
18:18:13 | {FFCC00}[tr]gamgam(20) Otobus Soforu olarak spawn oldu.
18:18:14 | [CMD] BoykoXD(8) => /pm 0 adý neydi
18:18:16 | [LOCAL]Freezer3543(15): tm
18:18:16 | [CMD] Freezer3543(15) => /l tm
18:18:23 | [CMD] Hic(0) => /pm 8 diver chemicals
18:18:29 | [CMD] nik0tin(12) => /musait 
18:18:30 | kiral(17): poliiis
18:18:33 | [CMD] Hic(0) => /tamir
18:18:33 | [eN]Overlord(7): geldim
18:18:37 | Hic(0): agareis takip et
18:18:38 | [CMD] BoykoXD(8) => /a niko knk diver chemicals neresi
18:18:45 | [CMD] [tr]gamgam(20) => /work
18:18:47 | Hic(0): agareis takip et
18:18:48 | [CMD] nik0tin(12) => /a lvde 
18:18:54 | [eN]Overlord(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:18:57 | [CMD] BoykoXD(8) => /a lvnin neresi
18:19:8 | [CMD] Freezer3543(15) => /tamir
18:19:10 | [CMD] nik0tin(12) => /goto 8 
18:19:16 | [CMD] nik0tin(12) => /araba 
18:19:18 | [CMD] Grejuva(11) => /work
18:19:28 | [eN]Overlord(7) oyuna girdi [IP: 78.180.153.68]
18:19:30 | [CMD] CagatayBro(9) => /work
18:19:36 | [CMD] nik0tin(12) => /a map giriþi var 
18:19:38 | 
18:19:44 | {FFCC00}[eN]Overlord(7) {FFFFFF}Polis olarak spawn oldu.
18:19:54 | Hic(0): agareis takip et beni
18:20:3 | [LOCAL]Jodor(28): kimin aracý bu
18:20:3 | [CMD] Jodor(28) => /l kimin aracý bu
18:20:3 | [CMD] [eN]Overlord(7) => /gobus
18:20:9 | [LOCAL]Jodor(28): bizim lirketin mi :D
18:20:9 | [CMD] Jodor(28) => /l bizim lirketin mi :D
18:20:10 | [LOCAL]nik0tin(12): sultan mý 
18:20:10 | [CMD] nik0tin(12) => /l sultan mý 
18:20:14 | [eN]Overlord(7): hic
18:20:16 | [eN]Overlord(7): nerdesin
18:20:19 | Hic(0): heð ?
18:20:24 | BeylerBeyi(13) oyuna girdi [IP: 85.98.79.69]
18:20:25 | Hic(0): þirkete gel
18:20:29 | [eN]Overlord(7): ceza kesmem gerekiyor
18:20:33 | [LOCAL]Jodor(28): evet
18:20:33 | [CMD] Jodor(28) => /l evet
18:20:34 | 
18:20:35 | Hic(0): þirkete gel
18:20:37 | [CMD] Hic(0) => /tamir
18:20:38 | {FFCC00}BeylerBeyi(13) {FFFFFF}Kamyoncu olarak spawn oldu.
18:20:38 | [LOCAL]nik0tin(12): benim :D 
18:20:38 | [CMD] nik0tin(12) => /l benim :D 
18:20:40 | [CMD] BeylerBeyi(13) => /saa
18:20:42 | [CMD] BeylerBeyi(13) => /sac
18:20:42 | [CMD] [eN]Overlord(7) => /rescue
18:20:43 | [CMD] Hic(0) => /tamir
18:20:43 | [CMD] BeylerBeyi(13) => /sa
18:20:45 | Hic(0): Aleyküm Selam Hoþgeldin.
18:20:46 | [CMD] BeylerBeyi(13) => /djler
18:20:49 | BeylerBeyi(13): H.b
18:20:49 | [CMD] kiral(17) => /as
18:20:49 | [CMD] Grejuva(11) => /as
18:20:51 | [eN]Overlord(7): lag
18:20:53 | [CMD] [eN]Overlord(7) => /rescue
18:20:55 | [eN]Overlord(7): relog
18:20:56 | [eN]Overlord(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:20:58 | [LOCAL]Jodor(28): dogru bug var ya
18:20:58 | [CMD] Jodor(28) => /l dogru bug var ya
18:21:2 | Younapo.(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:21:3 | [CMD] Jodor(28) => /as
18:21:4 | Dark_Alone_(10): gizli kasadan
18:21:6 | Dark_Alone_(10): ne cýkýyo
18:21:8 | [LOCAL]nik0tin(12): bi adam vardý 
18:21:8 | [CMD] nik0tin(12) => /l bi adam vardý 
18:21:13 | [CMD] Freezer3543(15) => /work
18:21:14 | [LOCAL]nik0tin(12): artda gözüküyo 
18:21:14 | [CMD] nik0tin(12) => /l artda gözüküyo 
18:21:14 | Dark_Alone_(10): gizli kasa 13 buldum
18:21:15 | [LOCAL]Jodor(28): kim
18:21:15 | [CMD] Jodor(28) => /l kim
18:21:16 | [CMD] BeylerBeyi(13) => /d þarký çalýyormu
18:21:18 | [CMD] Dark_Alone_(10) => /gizlikas
18:21:19 | [CMD] Dark_Alone_(10) => /gizlikasa
18:21:21 | [LOCAL]nik0tin(12): fublary 
18:21:21 | [CMD] nik0tin(12) => /l fublary 
18:21:26 | [CMD] BoykoXD(8) => /d no
18:21:27 | [LOCAL]nik0tin(12): serinin aracý sürüyodu 
18:21:27 | [CMD] nik0tin(12) => /l serinin aracý sürüyodu 
18:21:28 | Hic(0): Buraso galiba
18:21:29 | [eN]Overlord(6) oyuna girdi [IP: 78.180.153.68]
18:21:31 | [LOCAL]Jodor(28): bizde deðil
18:21:31 | [CMD] Jodor(28) => /l bizde deðil
18:21:32 | Hic(0): Burasý*
18:21:34 | agareis150(26): tm
18:21:36 | [CMD] BeylerBeyi(13) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr... 
18:21:36 | [CMD] BeylerBeyi(13) => /asay Ýstek þarký için "/isteksarki <id>" yazýp bize iletebilirsiniz...  
18:21:37 | [CMD] [tr]gamgam(20) => /tamir
18:21:38 | 
18:21:41 | [CMD] Hic(0) => /isteksarki 92
18:21:41 | agareis150(26): saolun
18:21:41 | [CMD] CagatayBro(9) => /work
18:21:41 | {FFCC00}[eN]Overlord(6) {FFFFFF}Polis olarak spawn oldu.
18:21:44 | [CMD] BeylerBeyi(13) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr... 
18:21:44 | [CMD] Hic(0) => /sac
18:21:45 | [CMD] BeylerBeyi(13) => /d 92
18:21:47 | Hic(0): Rica
18:21:49 | [CMD] Jodor(28) => /araba
18:21:50 | [LOCAL]nik0tin(12): para kasmaya yardým lazým mý 
18:21:50 | [CMD] nik0tin(12) => /l para kasmaya yardým lazým mý 
18:21:53 | [CMD] Hic(0) => /tamir
18:21:57 | Dark_Alone_(10): gizli 
18:21:59 | Dark_Alone_(10): kasa buldum
18:21:59 | agareis150(26): ama tugise nasýl gitcem
18:22:0 | [CMD] Jodor(28) => /kemer
18:22:0 | Dark_Alone_(10): nasýl accam
18:22:0 | [CMD] [eN]Overlord(6) => /rescue
18:22:4 | [CMD] Dark_Alone_(10) => /araba
18:22:4 | [LOCAL]Jodor(28): yeni aracým nasýl
18:22:4 | [CMD] Jodor(28) => /l yeni aracým nasýl
18:22:5 | [eN]Overlord(6): hic
18:22:6 | [CMD] Grejuva(11) => /dgþer
18:22:6 | [eN]Overlord(6): þirketteyim
18:22:7 | agareis150(26): wasp wepaosonsa
18:22:8 | Hic(0): Heð ?
18:22:10 | [LOCAL]TIRCI(19): geldim 
18:22:10 | [CMD] TIRCI(19) => /l geldim 
18:22:10 | [LOCAL]nik0tin(12): güzel :D 
18:22:10 | [CMD] nik0tin(12) => /l güzel :D 
18:22:15 | Hic(0): Götürürüm
18:22:16 | [LOCAL]TIRCI(19): mac vardý almýsým 
18:22:16 | [CMD] TIRCI(19) => /l mac vardý almýsým 
18:22:21 | [CMD] Hic(0) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz...  
18:22:21 | [CMD] Hic(0) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz.. 
18:22:23 | [CMD] BoykoXD(8) => /a wasp wepaosonsa neresi
18:22:27 | [CMD] Hic(0) => /tamir
18:22:30 | [eN]Overlord(6): Hic þirkette yoksun pnp
18:22:35 | Hic(0): geliyom qmq
18:22:40 | [CMD] Grejuva(11) => /work
18:22:40 | CagatayBro(9): týr la alýcaksýn onu
18:22:42 | [eN]Overlord(6): bekliyom qmq
18:22:45 | [CMD] BoykoXD(8) => /a wasp wepaosonsa neresi
18:22:45 | Dark_Alone_(10): he tm
18:22:46 | CagatayBro(9): belirli bir gizli dorseye ödül veriyor sanýrým
18:22:47 | [CMD] Freezer3543(15) => /tamir
18:22:49 | [CMD] nik0tin(12) => /a bilmiyorum ki bende 
18:22:50 | [CMD] Freezer3543(15) => /tamir
18:22:52 | [CMD] BeylerBeyi(13) => /fp
18:22:52 | CagatayBro(9): fazla bilmiyorum ben de
18:22:53 | [CMD] BeylerBeyi(13) => /fps
18:22:53 | [CMD] BoykoXD(8) => /a  tm
18:22:55 | Dark_Alone_(10): saol
18:22:58 | [LOCAL]BoykoXD(8): wasp wepaosonsa neresi
18:22:58 | [CMD] BoykoXD(8) => /l wasp wepaosonsa neresi
18:23:2 | CagatayBro(9): bu arada tekne bende
18:23:5 | CagatayBro(9): skor 6 k olsun salýcagým
18:23:6 | Dark_Alone_(10): :/
18:23:6 | [LOCAL]Hic(0): Tugisde bir yer
18:23:6 | [CMD] Hic(0) => /l Tugisde bir yer
18:23:9 | [LOCAL]Jodor(28): kiralasana ya sürelim :D
18:23:9 | [CMD] Jodor(28) => /l kiralasana ya sürelim :D
18:23:12 | Dark_Alone_(10): tm
18:23:16 | [CMD] Jodor(28) => /rescue
18:23:17 | [LOCAL]nik0tin(12): kiralýyam 
18:23:17 | [CMD] nik0tin(12) => /l kiralýyam 
18:23:21 | Jodor(28): sf ye gel
18:23:21 | [LOCAL]Freezer3543(15): Ýceri :D
18:23:21 | [CMD] Freezer3543(15) => /l Ýceri :D
18:23:23 | [CMD] nik0tin(12) => /ehliyetyeri 
18:23:23 | [CMD] BoykoXD(8) => /dtemizle
18:23:24 | [CMD] Freezer3543(15) => /tamir
18:23:27 | [CMD] [eN]Overlord(6) => /rescue
18:23:27 | [CMD] nik0tin(12) => /fly 
18:23:30 | [CMD] BeylerBeyi(13) => /fps
18:23:33 | nik0tin(12):  /ehliyetyeri 
18:23:34 | [LOCAL]BoykoXD(8): iyi bn kaçar gemiciliðe
18:23:34 | [CMD] BoykoXD(8) => /l iyi bn kaçar gemiciliðe
18:23:34 | [CMD] Jodor(28) => /balon
18:23:37 | [CMD] [eN]Overlord(6) => /ehliyetyeri
18:23:39 | [CMD] [eN]Overlord(6) => /ehliyetyeri
18:23:39 | [CMD] Hic(0) => /þ bb
18:23:41 | [CMD] BoykoXD(8) => /meslek
18:23:42 | [CMD] agareis150(26) => /tamir
18:23:42 | [eN]Overlord(6): çalýþmýyor bene o komut
18:23:43 | [LOCAL]Hic(0): bb
18:23:43 | [CMD] Hic(0) => /l bb
18:23:44 | BoykoXD(8) Gemici olarak spawn oldu.
18:23:45 | [CMD] [eN]Overlord(6) => //rescue
18:23:47 | [CMD] Jodor(28) => /ehliyetyeri
18:23:49 | [CMD] [eN]Overlord(6) => /rescue
18:23:51 | nik0tin(12): vip olman gerek 
18:23:53 | [CMD] agareis150(26) => /asiriyuk
18:23:54 | [CMD] agareis150(26) => /asiriyuk
18:23:54 | [CMD] agareis150(26) => /asiriyuk
18:23:55 | [CMD] agareis150(26) => /asiriyuk
18:23:55 | [CMD] agareis150(26) => /asiriyuk
18:23:58 | [CMD] CagatayBro(9) => /work
18:23:59 | [CMD] agareis150(26) => /asiriyuk
18:24:0 | [eN]Overlord(6): SF de kilere ceza keseceðim
18:24:1 | [CMD] Freezer3543(15) => /tamir
18:24:2 | Jodor(28): aynen ya unutmuþum :D
18:24:2 | [CMD] nik0tin(12) => /rentcar 
18:24:4 | agareis150(26): hic
18:24:5 | [CMD] Jodor(28) => /araba
18:24:9 | [CMD] nik0tin(12) => /rentcar 
18:24:10 | Hic(0): nieð ?
18:24:11 | [CMD] [eN]Overlord(6) => /kemer
18:24:15 | [LOCAL]Freezer3543(15): Benden bu kadar
18:24:15 | [CMD] Freezer3543(15) => /l Benden bu kadar
18:24:15 | [CMD] Jodor(28) => /myskin 153
18:24:16 | [CMD] BoykoXD(8) => /kemer
18:24:19 | [LOCAL]Freezer3543(15): K.g. sana
18:24:19 | [CMD] Freezer3543(15) => /l K.g. sana
18:24:19 | [CMD] BoykoXD(8) => /work
18:24:20 | [CMD] Jodor(28) => /myskin 145
18:24:20 | [CMD] CagatayBro(9) => /vipler
18:24:22 | Hic(0): Sorun nedir bea ?
18:24:26 | [CMD] Freezer3543(15) => /meslek
18:24:28 | Freezer3543(15) Mafya olarak spawn oldu.
18:24:28 | [CMD] Jodor(28) => /myskin 109
18:24:30 | [CMD] Hic(0) => /goto 26
18:24:33 | agareis150(26): Wasp Weapons(Yeni Tugis)'a götür beni
18:24:35 | Freezer3543(15): Agareis
18:24:36 | [CMD] Hic(0) => /tamir
18:24:42 | Hic(0): Oqey
18:24:44 | agareis150(26): efm
18:24:47 | Freezer3543(15): Tamam
18:24:50 | [LOCAL]nik0tin(12): yolu bilmiylar :D  
18:24:50 | [CMD] nik0tin(12) => /l yolu bilmiylar :D  
18:24:55 | agareis150(26): ne var
18:24:57 | [LOCAL]Jodor(28): modife edilir mi
18:24:57 | [CMD] Jodor(28) => /l modife edilir mi
18:25:1 | Freezer3543(15): Þirketine baktým
18:25:4 | [CMD] kiral(17) => /pm 12 nikotin benle kargocu olurmusun
18:25:7 | [LOCAL]TIRCI(19): kac yasýndasýn sen 
18:25:7 | [CMD] TIRCI(19) => /l kac yasýndasýn sen 
18:25:8 | [LOCAL]nik0tin(12): tekerler ediliyo 
18:25:8 | [CMD] nik0tin(12) => /l tekerler ediliyo 
18:25:12 | [CMD] Freezer3543(15) => /modifiye
18:25:16 | [CMD] Freezer3543(15) => /kemer
18:25:19 | [LOCAL]Grejuva(11): 16
18:25:19 | [CMD] Grejuva(11) => /l 16
18:25:21 | agareis150(26): ben biliyom senin neye baktýðýný
18:25:22 | [CMD] nik0tin(12) => /pm 17 olamam iþim var 
18:25:28 | [CMD] GSLIMERT(21) => /sa
18:25:28 | [CMD] agareis150(26) => /akilitle
18:25:30 | Hic(0): Aleyküm Selam Hoþgeldin.
18:25:32 | [CMD] GSLIMERT(21) => /geldim
18:25:32 | [CMD] kiral(17) => /sa
18:25:34 | [CMD] kiral(17) => /as
18:25:35 | [CMD] GSLIMERT(21) => /as
18:25:36 | [CMD] TIRCI(19) => /as
18:25:36 | [CMD] BeylerBeyi(13) => /kasabirak
18:25:37 | [CMD] Hic(0) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz...  
18:25:37 | TIRCI(19): hg
18:25:37 | [CMD] Hic(0) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz.. 
18:25:39 | Freezer3543(15): Jodora sozum olmasa herkese saldýrýcam
18:25:41 | [CMD] Jodor(28) => /vtamir
18:25:44 | ClipCamper20(7) oyuna girdi [IP: 88.230.102.255]
18:25:47 | Jodor(28): saldýrma :D
18:25:49 | [CMD] BeylerBeyi(13) => /asay Ýstek þarkýnýz çalýnýyor iyi oyunlar dileriz... 
18:25:52 | 
18:25:53 | Freezer3543(15): Adam seri aga
18:25:57 | [SirketCHT] GSLIMERT(21): ! jodor yapcazmý konvoy
18:25:58 | nik0tin(12): konvoya katýl 4 5 katný al 
18:25:58 | {FFCC00}ClipCamper20(7) {FFFFFF}Kamyoncu olarak spawn oldu.
18:26:0 | ClipCamper20(7): sa
18:26:0 | Freezer3543(15): Bozok ve art yasaktý
18:26:0 | [eN]Overlord(6): 100 skor altý olmayanlara saldýrma
18:26:0 | Hic(0): agareis nerden girdin sen ?
18:26:4 | Grejuva(11): varsa þekerim patalayalým þekerim
18:26:6 | [CMD] CagatayBro(9) => /work
18:26:7 | [CMD] BeylerBeyi(13) => /as
18:26:14 | [CMD] ClipCamper20(7) => /sa
18:26:16 | [SirketCHT] GSLIMERT(21): ! jodor yapcazmý konvoy
18:26:18 | [CMD] TIRCI(19) => /as
18:26:18 | [CMD] [eN]Overlord(6) => /as
18:26:18 | Hic(0): Aleyküm Selam Hoþgeldin.
18:26:20 | [CMD] nik0tin(12) => /as 
18:26:20 | [CMD] Grejuva(11) => /as
18:26:20 | [SirketCHT] Jodor(28): ! yok
18:26:22 | ClipCamper20(7): hoþbuldk
18:26:22 | [CMD] Freezer3543(15) => /rescue
18:26:24 | Dark_Alone_(10): as
18:26:27 | Hic(0): @26 nerdesin 
18:26:35 | [CMD] BeylerBeyi(13) => /as
18:26:38 | [SirketCHT] GSLIMERT(21): ! jodor yapcazmý konvoy
18:26:38 | Hic(0): @10 /as komutunu yazabilirsin.
18:26:40 | Dark_Alone_(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:26:47 | [CMD] Freezer3543(15) => /kemer
18:26:48 | [SirketCHT] Jodor(28): ! yok dostum.benim þu an iþim var
18:26:49 | [CMD] Freezer3543(15) => /modifiye
18:26:49 | [CMD] TIRCI(19) => /kemer
18:26:51 | [eN]Overlord(6): Grejuva
18:26:52 | [CMD] Freezer3543(15) => /modifiye
18:26:53 | PoiriniFurkan(10) oyuna girdi [IP: 85.98.203.83]
18:26:54 | [CMD] [eN]Overlord(6) => /rescue
18:26:57 | Grejuva(11): efm
18:27:0 | [CMD] GSLIMERT(21) => /meslek
18:27:3 | [CMD] nik0tin(12) => /pm 28 senin motor farklý dönüyor 
18:27:3 | 
18:27:6 | [LOCAL]Hic(0): pnp nerden çýkýcaz ?
18:27:6 | [CMD] Hic(0) => /l pnp nerden çýkýcaz ?
18:27:7 | [CMD] GSLIMERT(21) => /rescue
18:27:8 | [CMD] [eN]Overlord(6) => /pm 11 þirkete gelsene
18:27:10 | [CMD] Jodor(28) => /cevir
18:27:10 | Dark_Alone_(14) oyuna girdi [IP: 212.253.111.194]
18:27:12 | [CMD] [eN]Overlord(6) => /rescue
18:27:13 | [CMD] Jodor(28) => /vtamir
