0:0:1 | smosercan(11): yok ya 
19:11:33 | ScrappeR(10): kargocu ortak olcak varmý
19:11:37 | [CMD] Hic(29) => /tamir
19:11:42 | [CMD] BoykoXD(24) => /a knk sýkýntý oldu orda k.b
19:11:53 | [CMD] arwen(9) => /tamir
19:11:54 | huseyin(19): atýlmadýysan sýkýntý yok
19:11:58 | huseyin(19): tekrar baþvurabilirsin
19:11:59 | [LOCAL]oktayacar(6): kac m lik istiyon ev
19:11:59 | [CMD] oktayacar(6) => /l kac m lik istiyon ev
19:12:0 | BoykoXD(24): Deneme yapacaðýn simdiden k.byýn keynibderle ilgili
19:12:3 | [CMD] arwen(9) => /motor
19:12:7 | [LOCAL]TR_Berk_TR(0): en fazla 15 m
19:12:7 | [CMD] TR_Berk_TR(0) => /l en fazla 15 m
19:12:11 | [CMD] BoykoXD(24) => /rescue
19:12:15 | [LOCAL]oktayacar(6): 2.5m olur mu
19:12:15 | [CMD] oktayacar(6) => /l 2.5m olur mu
19:12:17 | [CMD] BoykoXD(24) => /asay DJ Baþvurularý açýlmýþtýr baaþvurmak isteyenler www.trucksampden baþvurabilir...  
19:12:20 | [CMD] BoykoXD(24) => /a he oldu
19:12:24 | [CMD] Jexpain(8) => /work
19:12:26 | [LOCAL]TR_Berk_TR(0): cok ucuz kesin 1 araclýktýr
19:12:26 | [CMD] TR_Berk_TR(0) => /l cok ucuz kesin 1 araclýktýr
19:12:26 | [CMD] ScrappeR(10) => /work
19:12:26 | gorkemu24(11): ailevi mevzular sýnavlar falan zaten istifa verirken yazmýstým 
19:12:27 | [CMD] huseyin(19) => /a olmadý
19:12:28 | [LOCAL]TR_Berk_TR(0): cok ucuz kesin 1 araclýktýr
19:12:28 | [CMD] TR_Berk_TR(0) => /l cok ucuz kesin 1 araclýktýr
19:12:28 | gorkemu24(11): tm saol
19:12:34 | [CMD] BoykoXD(24) => /a nasýl ya
19:12:35 | [LOCAL]TR_Berk_TR(0): bana 2 araclýk lazým en az
19:12:35 | [CMD] TR_Berk_TR(0) => /l bana 2 araclýk lazým en az
19:12:38 | [LOCAL]oktayacar(6): bunda araclýk yok
19:12:38 | [CMD] oktayacar(6) => /l bunda araclýk yok
19:12:38 | [CMD] BoykoXD(24) => /a olmadý
19:12:39 | [CMD] huseyin(19) => /a www.trucksampden
19:12:40 | [CMD] Hic(29) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ?  
19:12:43 | [LOCAL]TR_Berk_TR(0): nasýl yaný
19:12:43 | [CMD] TR_Berk_TR(0) => /l nasýl yaný
19:12:45 | [CMD] TEXAST5(7) => /A az foruma bakam 
19:12:46 | [CMD] huseyin(19) => /a www.trucksamp.com/forum olucaktý orasý
19:12:49 | [CMD] TEXAST5(7) => /a sorun varmý 
19:12:50 | [CMD] TEXAST5(7) => /musait 
19:12:52 | [LOCAL]oktayacar(6): istediðin evi al istediðin kadart arac
19:12:52 | [CMD] oktayacar(6) => /l istediðin evi al istediðin kadart arac
19:12:53 | [CMD] BoykoXD(24) => /a he ok .d
19:12:53 | [CMD] huseyin(19) => /cantazele
19:12:57 | [LOCAL]TR_Berk_TR(0): ev ne iþe yarýyor ozmn
19:12:57 | [CMD] TR_Berk_TR(0) => /l ev ne iþe yarýyor ozmn
19:13:2 | [LOCAL]KorkusuzKorkak(13): süs
19:13:2 | [CMD] KorkusuzKorkak(13) => /l süs
19:13:4 | [LOCAL]oktayacar(6): evide almana gerek yok
19:13:4 | [CMD] oktayacar(6) => /l evide almana gerek yok
19:13:12 | Brokoli(14) oyuna girdi [IP: 95.10.30.97]
19:13:13 | [LOCAL]oktayacar(6): ben aldým
19:13:13 | [CMD] oktayacar(6) => /l ben aldým
19:13:19 | [LOCAL]oktayacar(6): yanýmdan al
19:13:19 | [CMD] oktayacar(6) => /l yanýmdan al
19:13:20 | [CMD] Alem00(15) => /TAMÝR
19:13:21 | [CMD] huseyin(19) => /admins
19:13:23 | [CMD] huseyin(19) => /admins
19:13:23 | [LOCAL]TR_Berk_TR(0): ozaman 2bucuk m lik alam
19:13:23 | [CMD] TR_Berk_TR(0) => /l ozaman 2bucuk m lik alam
19:13:24 | [CMD] Alem00(15) => /rtamir
19:13:24 | [LOCAL]KorkusuzKorkak(13): ev çok bir iþe yaramýyor
19:13:24 | [CMD] KorkusuzKorkak(13) => /l ev çok bir iþe yaramýyor
19:13:25 | [CMD] gorkemu24(11) => /gobus
19:13:26 | [LOCAL]TR_Berk_TR(0): ozaman 2bucuk m lik alam
19:13:26 | [CMD] TR_Berk_TR(0) => /l ozaman 2bucuk m lik alam
19:13:26 | [CMD] Alem00(15) => /tamir
19:13:27 | [CMD] huseyin(19) => /admins
19:13:27 | [CMD] gorkemu24(11) => /karakol
19:13:27 | [LOCAL]oktayacar(6): tm
19:13:27 | [CMD] oktayacar(6) => /l tm
19:13:28 | [CMD] BoykoXD(24) => /a deneyebilirmiyim simdi huseyin
19:13:32 | [CMD] gorkemu24(11) => /cezaode
19:13:32 | [CMD] huseyin(19) => /a +
19:13:33 | [CMD] Hic(29) => /araba
19:13:34 | [CMD] gorkemu24(11) => /gobus
19:13:34 | [CMD] huseyin(19) => /a ok
19:13:35 | [CMD] BoykoXD(24) => /asay DJ Baþvurularý açýlmýþtýr baþvurmak isteyenler www.trucksamp/forum  baþvurabilir...  
19:13:35 | [CMD] huseyin(19) => /dtemizle 
19:13:35 | [CMD] huseyin(19) => /asay2 s  
19:13:37 | [CMD] gorkemu24(11) => /icerigir
19:13:40 | [CMD] gorkemu24(11) => /isyerimenu
19:13:43 | [CMD] huseyin(19) => /a .com nerde la
19:13:44 | [CMD] gorkemu24(11) => /isyerimenu
19:13:46 | [CMD] Hic(29) => /tamir
19:13:47 | [CMD] CcCAtakan1907(16) => /r huseyin
19:13:48 | [CMD] gorkemu24(11) => /gobus
19:13:48 | [CMD] KorkusuzKorkak(13) => /fps
19:13:50 | [CMD] KorkusuzKorkak(13) => /fps
19:13:50 | [CMD] huseyin(19) => /r ?
19:13:51 | [CMD] gorkemu24(11) => /icerigir
19:13:53 | Hic(29): Araç res
19:13:54 | [CMD] huseyin(19) => /asay Arac Res Geliyor!  
19:13:54 | [CMD] huseyin(19) => /asay Arac Res Geliyor!  
19:13:55 | [CMD] gorkemu24(11) => /isyerimenu
19:13:55 | [CMD] nik0tin(26) => /asay Araç Res Geliyor ...    
19:13:57 | ScrappeR(10): boyko ne biçim lagýn var
19:13:57 | [LOCAL]Hic(29): ini n
19:13:57 | [CMD] Hic(29) => /l ini n
19:13:59 | [CMD] huseyin(19) => /respawncars 
19:13:59 | [CMD] gorkemu24(11) => /isyerimenu
19:14:2 | CcCAtakan1907(16): püð
19:14:3 | [CMD] gorkemu24(11) => /isyerimenu
19:14:4 | [CMD] nik0tin(26) => /cantazele 
19:14:7 | [LOCAL]Hic(29): Neyse boþer
19:14:7 | [CMD] Hic(29) => /l Neyse boþer
19:14:8 | Jexpain(8): admýn aracla suya dustum :S
19:14:8 | BoykoXD(24): Yok lagým yok
19:14:10 | Jexpain(8): kurtarýrýmsn
19:14:13 | [CMD] gorkemu24(11) => /gobus
19:14:15 | [CMD] CcCAtakan1907(16) => /R nick deðiþtirirken felan biþi gidiyomu baþarým vb.
19:14:16 | [LOCAL]BoykoXD(24): az afk
19:14:16 | [CMD] BoykoXD(24) => /l az afk
19:14:18 | [CMD] gorkemu24(11) => /icerigir
19:14:20 | [CMD] BoykoXD(24) => /afk
19:14:21 | Jexpain(8): gorevdeyim pls
19:14:23 | [CMD] BoykoXD(24) => /geldim
19:14:24 | [CMD] Hic(29) => /afk
19:14:24 | [CMD] gorkemu24(11) => /isyerimenu
19:14:25 | [CMD] BoykoXD(24) => /afk
19:14:27 | [LOCAL]oktayacar(6): bin
19:14:27 | [CMD] oktayacar(6) => /l bin
19:14:27 | [CMD] BoykoXD(24) => /musit
19:14:28 | [CMD] Hic(29) => /musait
19:14:29 | [CMD] BoykoXD(24) => /musait
19:14:29 | [CMD] huseyin(19) => /a gidiyormu
19:14:31 | arwen(9): konvoydayýz pls
19:14:33 | Brokoli(14) 60 saniye içinde giriþ yapmadýðý için tekmelendi
19:14:33 | Brokoli(14) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
19:14:33 | [CMD] huseyin(19) => /a gidiyor heralde
19:14:40 | [CMD] huseyin(19) => /r gider
19:14:40 | Alem00(15): sudan cýkarsana moruk
19:14:44 | [CMD] CcCAtakan1907(16) => /r ney ?
19:14:48 | [CMD] nik0tin(26) => /car mountain 0 0 
19:14:49 | [CMD] huseyin(19) => /r baþarým
19:14:50 | [CMD] KorkusuzKorkak(13) => /uzan
19:14:51 | [CMD] nik0tin(26) => /car mountain 0 0 
19:14:54 | [CMD] CcCAtakan1907(16) => /r hoayda
19:14:56 | [CMD] nik0tin(26) => /etk skin 53 
19:14:56 | Jexpain(8): admýnler
19:14:58 | [CMD] huseyin(19) => /r ndn
19:15:0 | Jexpain(8): ne boka yarýyor la burda
19:15:1 | [CMD] KorkusuzKorkak(13) => /uzan
19:15:1 | [CMD] nik0tin(26) => /etk skin 51
19:15:1 | [ANTIHACK] Þüpheli Jexpain(8) => Airbreak-hack
19:15:1 | (BANKA) gorkemu24(11) 921 nolu banka hesabina 100000$ yatirdi.
19:15:3 | [CMD] BoykoXD(24) => /geldim
19:15:3 | [CMD] ScrappeR(10) => /lagtest
19:15:5 | [CMD] nik0tin(26) => /spec 8 
19:15:5 | (BANKA) gorkemu24(11) 921 nolu banka hesabina 6000000$ yatirdi.
19:15:6 | [LOCAL]TR_Berk_TR(0): kak la onumuzu goremýyoz fps mod acýk :D
19:15:6 | [CMD] TR_Berk_TR(0) => /l kak la onumuzu goremýyoz fps mod acýk :D
19:15:6 | [LOCAL]Gezegen(18): kn donudrudn
19:15:6 | [CMD] Gezegen(18) => /l kn donudrudn
19:15:6 | [CMD] CcCAtakan1907(16) => /R alabilirmde
19:15:6 | [CMD] BoykoXD(24) => /musait
19:15:6 | arwen(9): neresi yasak
19:15:9 | [LOCAL]TR_Berk_TR(0): kak la onumuzu goremýyoz fps mod acýk :D
19:15:9 | [CMD] TR_Berk_TR(0) => /l kak la onumuzu goremýyoz fps mod acýk :D
19:15:9 | [CMD] BoykoXD(24) => /asay Vip-Donator-Þirket-Giþe almak isteyenler. Facebook:www.trucksamp.com adresinde alabilir...   
19:15:9 | [CMD] CcCAtakan1907(16) => /r ondan sordum
19:15:9 | [CMD] BoykoXD(24) => /asay Yeni katýlan kiþiler için /kurallar yazýp 5skor ve 30.000$ Kazanabilirsiniz... 
19:15:10 | [CMD] ScrappeR(10) => /lagtest
19:15:10 | huseyin(19): suya düþeni çekemeyiz
19:15:10 | [CMD] BoykoXD(24) => /asay Forum sayfamýza üye olmak isteyenler: www.trucksamp.com adresine ulaþabilirsiniz... 
19:15:10 | [CMD] ScrappeR(10) => /lagtest
19:15:11 | [CMD] ScrappeR(10) => /lagtest
19:15:11 | [CMD] ScrappeR(10) => /lagtest
19:15:14 | [LOCAL]KorkusuzKorkak(13): :d
19:15:14 | [CMD] KorkusuzKorkak(13) => /l :d
19:15:15 | huseyin(19): kural var
19:15:16 | Gezegen(18): furkan 
19:15:16 | BULDOZER(06)(20): @sudan cekmek yasak 
19:15:17 | [CMD] BoykoXD(24) => /pm 19 t/asay DJ Baþvurularý açýlmýþtýr baþvurmak isteyenler www.trucksamp.com/forum baþvurabilir...  
19:15:18 | [CMD] huseyin(19) => /duyurular
19:15:19 | [CMD] KorkusuzKorkak(13) => /animkapat
19:15:24 | [CMD] huseyin(19) => /duyurular
19:15:24 | [CMD] nik0tin(26) => /a id 8 e bir bakalým 
19:15:24 | [CMD] KorkusuzKorkak(13) => /uzan
19:15:24 | BULDOZER(06)(20): @15 sudan cekmek yasak 
19:15:25 | [CMD] BoykoXD(24) => /pm 19 oldu
19:15:27 | [CMD] Gezegen(18) => /pm 26 knk dondurdun beni :D
19:15:29 | Alem00(15): hellal be size
19:15:33 | [CMD] Gezegen(18) => /otur
19:15:33 | [CMD] huseyin(19) => /pm 24 +
19:15:33 | [CMD] nik0tin(26) => /pm 18 dur gelcem 
19:15:34 | [CMD] Gezegen(18) => /otur
19:15:38 | [CMD] CcCAtakan1907(16) => /araba
19:15:42 | [CMD] ScrappeR(10) => /workd
19:15:44 | [CMD] ScrappeR(10) => /work
19:15:46 | [LOCAL]KorkusuzKorkak(13): nasýl iyi görünüyonuz mu :d
19:15:46 | [CMD] KorkusuzKorkak(13) => /l nasýl iyi görünüyonuz mu :d
19:15:50 | [CMD] BoykoXD(24) => /asay DJ Baþvurularý açýlmýþtýr baþvurmak isteyenler www.trucksamp.com/forum baþvurabilir...  
19:15:52 | [CMD] Gezegen(18) => /sigara
19:15:52 | [LOCAL]oktayacar(6): ben goruyom
19:15:52 | [CMD] oktayacar(6) => /l ben goruyom
19:15:53 | [CMD] nik0tin(26) => /aka 8 
19:15:58 | [CMD] Gezegen(18) => /animlist
19:16:2 | [CMD] KorkusuzKorkak(13) => /animkapat
19:16:2 | [LOCAL]TR_Berk_TR(0): :d
19:16:2 | [CMD] TR_Berk_TR(0) => /l :d
19:16:3 | ScrappeR(10): s
19:16:8 | [CMD] Gezegen(18) => /sigara1
19:16:10 | BoykoXD(24): .
19:16:10 | [CMD] Gezegen(18) => /sigara1
19:16:11 | [CMD] Gezegen(18) => /sigara1
19:16:14 | [CMD] Gezegen(18) => /sigara2
19:16:15 | [LOCAL]BoykoXD(24): bnde lag yok knk 
19:16:15 | [CMD] BoykoXD(24) => /l bnde lag yok knk 
19:16:16 | [CMD] Gezegen(18) => /sigara2
19:16:16 | [CMD] CcCAtakan1907(16) => /R alsam mý ki
19:16:20 | [LOCAL]ScrappeR(10): tm
19:16:20 | [CMD] ScrappeR(10) => /l tm
19:16:21 | [CMD] BoykoXD(24) => /r neyi knk
19:16:22 | [CMD] nik0tin(26) => /specoff 
19:16:22 | nik0tin(26) Yol Iscisi olarak spawn oldu.
19:16:26 | [CMD] CcCAtakan1907(16) => /r nick deðiþme
19:16:27 | Hic(29) oyundan cIktI (Hata/Crash) (IP: 95.15.222.96)
19:16:30 | [CMD] huseyin(19) => /dtemizle 
19:16:30 | [CMD] huseyin(19) => /asay2 s  
19:16:32 | [LOCAL]TR_Berk_TR(0): ben fps modunu kendým yukledým daha guzel 
19:16:32 | [CMD] TR_Berk_TR(0) => /l ben fps modunu kendým yukledým daha guzel 
19:16:35 | [CMD] BoykoXD(24) => /a gerek yok ya knk 
19:16:38 | [CMD] nik0tin(26) => /myskin 52 
19:16:38 | [CMD] BoykoXD(24) => /a pardon
19:16:39 | [LOCAL]ScrappeR(10): afk msiin
19:16:39 | [CMD] ScrappeR(10) => /l afk msiin
19:16:40 | TIRCI(14) oyuna girdi [IP: 95.10.190.255]
19:16:41 | [CMD] nik0tin(26) => /myskin 51
19:16:42 | [CMD] BoykoXD(24) => /r gerek yok ya knk 
19:16:42 | [LOCAL]TR_Berk_TR(0): arabada deilken bile kullanabiliyon
19:16:42 | [CMD] TR_Berk_TR(0) => /l arabada deilken bile kullanabiliyon
19:16:50 | [CMD] KorkusuzKorkak(13) => /uzan
19:16:50 | [CMD] Gezegen(18) => /modifiye
19:16:51 | [CMD] gorkemu24(11) => /meslek
19:16:52 | [CMD] nik0tin(26) => /a clean geliyor 
19:16:53 | {FFCC00}gorkemu24(11) {FFFFFF}Pilot olarak spawn oldu.
19:16:55 | [CMD] huseyin(19) => /a +
19:16:56 | [CMD] huseyin(19) => /cleanupcars
19:16:57 | [CMD] Alem00(15) => /tamir
19:16:57 | [CMD] gorkemu24(11) => /rescue
19:16:57 | [LOCAL]BoykoXD(24): knk afk olsam yazý yazabilrimiym sence .d
19:16:57 | [CMD] BoykoXD(24) => /l knk afk olsam yazý yazabilrimiym sence .d
19:16:57 | [CMD] KorkusuzKorkak(13) => /animkapat
19:16:57 | [LOCAL]oktayacar(6): tm
19:16:57 | [CMD] oktayacar(6) => /l tm
19:17:0 | [CMD] nik0tin(26) => /cleanupcars 
19:17:1 | [LOCAL]Gezegen(18): sarý yap bisikleti
19:17:1 | [CMD] Gezegen(18) => /l sarý yap bisikleti
19:17:2 | 
19:17:3 | [CMD] CcCAtakan1907(16) => /r ccc bozdu knk gelen siyaset fln diyo ama eðlencesine yaptým :D
19:17:6 | [CMD] nik0tin(26) => /modifiye 
19:17:6 | [CMD] gorkemu24(11) => /rescue
19:17:7 | [LOCAL]KorkusuzKorkak(13): kastýrmýyor demi oyunu
19:17:7 | [CMD] KorkusuzKorkak(13) => /l kastýrmýyor demi oyunu
19:17:8 | [CMD] Alem00(15) => /cevir
19:17:9 | DangerTr07(17) oyuna girdi [IP: 95.10.4.8]
19:17:10 | [LOCAL]ScrappeR(10): belki yazýyý yazýp afk olmuþsundur diye :d
19:17:10 | [CMD] ScrappeR(10) => /l belki yazýyý yazýp afk olmuþsundur diye :d
19:17:11 | [CMD] Alem00(15) => /cevir
19:17:12 | [CMD] KorkusuzKorkak(13) => /uzan
19:17:17 | [CMD] Alem00(15) => /cevir
19:17:18 | 
19:17:18 | [LOCAL]oktayacar(6): bu
19:17:18 | [CMD] oktayacar(6) => /l bu
19:17:19 | [CMD] Alem00(15) => /cevir
19:17:20 | [CMD] BoykoXD(24) => /r o zaman yap knk sen bilirsin
19:17:20 | [LOCAL]TR_Berk_TR(0): hemde hiç
19:17:20 | [CMD] TR_Berk_TR(0) => /l hemde hiç
19:17:21 | {FFCC00}DangerTr07(17) {FFFFFF}Kamyoncu olarak spawn oldu.
19:17:23 | [LOCAL]oktayacar(6): guzel mi
19:17:23 | [CMD] oktayacar(6) => /l guzel mi
19:17:23 | [CMD] Jexpain(8) => /tamir
19:17:24 | [CMD] gorkemu24(11) => /work
19:17:24 | [CMD] BoykoXD(24) => /r para senin 
19:17:26 | [CMD] KorkusuzKorkak(13) => /animkapat
19:17:27 | [CMD] DangerTr07(17) => /sirket
19:17:29 | [LOCAL]BoykoXD(24): .d
19:17:29 | [CMD] BoykoXD(24) => /l .d
19:17:29 | {FFCC00}TIRCI(14) {FFFFFF}Pilot olarak spawn oldu.
19:17:30 | [CMD] TR_Berk_TR(0) => /evmenu
19:17:31 | [CMD] TIRCI(14) => /sa
19:17:31 | [CMD] CcCAtakan1907(16) => /r 1 lira var
19:17:34 | [CMD] Alem00(15) => /cevir
19:17:34 | [CMD] huseyin(19) => /as
19:17:34 | [CMD] DangerTr07(17) => /admgiris
19:17:35 | [CMD] TR_Berk_TR(0) => /evmenu
19:17:37 | [CMD] CcCAtakan1907(16) => /r 4lira ekleyem
19:17:37 | [CMD] nik0tin(26) => /as 
19:17:38 | [CMD] ScrappeR(10) => /as
19:17:40 | [CMD] CcCAtakan1907(16) => /R alýrým belki
19:17:40 | [CMD] huseyin(19) => /aka 8 
19:17:41 | [CMD] DangerTr07(17) => /myskin 21 
19:17:44 | [CMD] Alem00(15) => /cevir
19:17:46 | [CMD] TEXAST5(7) => /musait 
19:17:47 | [CMD] TEXAST5(7) => /as 
19:17:47 | [LOCAL]TR_Berk_TR(0): evmenu diyom evýn ýcýnde delsin diyor
19:17:47 | [CMD] TR_Berk_TR(0) => /l evmenu diyom evýn ýcýnde delsin diyor
19:17:48 | [LOCAL]KorkusuzKorkak(13): güzelmiþ içi baya
19:17:48 | [CMD] KorkusuzKorkak(13) => /l güzelmiþ içi baya
19:17:48 | [CMD] CcCAtakan1907(16) => /modifiye
19:17:50 | [CMD] huseyin(19) => /dtemizle 
19:17:50 | [CMD] huseyin(19) => /asay2 s  
19:17:54 | [LOCAL]oktayacar(6): ev diceksin
19:17:54 | [CMD] oktayacar(6) => /l ev diceksin
19:17:57 | [LOCAL]oktayacar(6): ev diceksin
19:17:57 | [CMD] oktayacar(6) => /l ev diceksin
19:17:58 | [CMD] BoykoXD(24) => /r bndednde sana 31 lira
19:17:59 | CcCAtakan1907(16): arac es
19:18:0 | [LOCAL]oktayacar(6): /ev
19:18:0 | [CMD] oktayacar(6) => /l /ev
19:18:0 | umu56(21) oyuna girdi [IP: 212.253.111.55]
19:18:1 | [CMD] TR_Berk_TR(0) => /evmenu
19:18:1 | [CMD] TEXAST5(7) => /A sýkýldým :D 
19:18:2 | [CMD] BoykoXD(24) => /asay Arac Res geliyor!!!
19:18:3 | [CMD] BoykoXD(24) => /asay Arac Res geliyor!!!
19:18:3 | [CMD] Alem00(15) => /cevir
19:18:3 | DangerTr07(17): sa
19:18:3 | [CMD] BoykoXD(24) => /asay Arac Res geliyor!!!
19:18:3 | [CMD] huseyin(19) => /admins
19:18:4 | [CMD] TR_Berk_TR(0) => /ev
19:18:5 | [LOCAL]oktayacar(6): onu boþveer
19:18:5 | [CMD] oktayacar(6) => /l onu boþveer
19:18:5 | [CMD] Alem00(15) => /cevir
19:18:6 | [LOCAL]oktayacar(6): /ev
19:18:6 | [CMD] oktayacar(6) => /l /ev
19:18:7 | [CMD] KorkusuzKorkak(13) => /araba
19:18:9 | [CMD] BoykoXD(24) => /respawncars  
19:18:9 | [CMD] BoykoXD(24) => /cantazele
19:18:10 | [CMD] CcCAtakan1907(16) => /as
19:18:10 | TIRCI(14): ev satýyom alcak varmý ls de 
19:18:10 | [CMD] BoykoXD(24) => /as
19:18:10 | [SirketCHT] DangerTr07(17): ! boyko 
19:18:12 | [CMD] TEXAST5(7) => /Car infernus 3 3 
19:18:14 | [CMD] CcCAtakan1907(16) => /araba
19:18:15 | [CMD] TIRCI(14) => /araba
19:18:16 | [SirketCHT] BoykoXD(24): ! hop
19:18:17 | [CMD] TEXAST5(7) => /A az þehir gezem 
19:18:17 | [CMD] huseyin(19) => /a þu /admins de
19:18:21 | [CMD] TEXAST5(7) => /kemer 
19:18:21 | [CMD] KorkusuzKorkak(13) => /araba
19:18:22 | [CMD] TEXAST5(7) => /keme r
19:18:23 | [CMD] CcCAtakan1907(16) => /modifiye
19:18:24 | [CMD] TEXAST5(7) => /kemer
19:18:25 | [CMD] TEXAST5(7) => /admins 
19:18:25 | [CMD] TIRCI(14) => /gobus
19:18:25 | [SirketCHT] DangerTr07(17): ! beylerbeyi haric maaþ vermiyoruz ali kendi vercekmiþ kasadan 
19:18:25 | [CMD] BoykoXD(24) => /admins
19:18:26 | [CMD] huseyin(19) => /a alt tarafta musait musait deðil - AFK yazýyor ya
19:18:28 | [CMD] nik0tin(26) => /admins 
19:18:29 | [CMD] umu56(21) => /login koray31
19:18:29 | [CMD] huseyin(19) => /a AFK sarý 
19:18:31 | [SirketCHT] DangerTr07(17): ! ss alsýn jasdjaj ona iþkence :D 
19:18:33 | [CMD] huseyin(19) => /a o nasýl oluyor
19:18:35 | [CMD] oktayacar(6) => /araba
19:18:38 | BoykoXD(24) oyundan cIktI (Hata/Crash) (IP: 88.237.99.45)
19:18:39 | [CMD] Alem00(15) => /cevir
19:18:39 | [CMD] TIRCI(14) => /kemer
19:18:41 | [SirketCHT] BULDOZER(06)(20): !danger
19:18:42 | [SirketCHT] DangerTr07(17): ! biz kasalim yeter :D
19:18:43 | [CMD] TEXAST5(7) => /A reis /afk denesene bi 
19:18:45 | [CMD] TIRCI(14) => /kemer
19:18:45 | [SirketCHT] DangerTr07(17): ! ? 
19:18:45 | umu56(21) oyundan cIktI (Hata/Crash) (IP: 212.253.111.55)
19:18:46 | [CMD] TEXAST5(7) => /a belki öyledir 
19:18:46 | [CMD] DangerTr07(17) => /kemer
19:18:47 | [CMD] huseyin(19) => /afk
19:18:47 | [CMD] TIRCI(14) => /kemer
19:18:48 | [CMD] TR_Berk_TR(0) => /ev
19:18:49 | [CMD] huseyin(19) => /geldim
19:18:50 | [CMD] huseyin(19) => /afk
19:18:50 | [CMD] DangerTr07(17) => /modifiye
19:18:52 | [CMD] TEXAST5(7) => /admins 
19:18:52 | [CMD] huseyin(19) => /admins
19:18:53 | [SirketCHT] BULDOZER(06)(20): !maaslar ne zmn veriliyo
19:18:53 | ScrappeR(10): kargocu ortak olacak varmý
19:18:57 | [CMD] nik0tin(26) => /a /musait deðil mi o 
19:18:59 | [CMD] TEXAST5(7) => /a yoh 
19:19:0 | [CMD] huseyin(19) => /a .d
19:19:1 | [CMD] TEXAST5(7) => /A olmadý 
19:19:2 | [CMD] nik0tin(26) => /afk
19:19:2 | [CMD] huseyin(19) => /musait
19:19:2 | [SirketCHT] DangerTr07(17): ! Pazar günü 
19:19:4 | [CMD] huseyin(19) => /admins
19:19:5 | [CMD] TEXAST5(7) => /admins 
19:19:7 | [CMD] huseyin(19) => /a yoh
19:19:7 | [CMD] DangerTr07(17) => /saat 12
19:19:9 | [CMD] huseyin(19) => /musait
19:19:9 | [CMD] DangerTr07(17) => /Hava 1
19:19:10 | BoykoXD(21) oyuna girdi [IP: 88.237.99.45]
19:19:10 | [SirketCHT] BULDOZER(06)(20): !tm 
19:19:11 | [CMD] huseyin(19) => /geldim
19:19:13 | [CMD] TR_Berk_TR(0) => /ev
19:19:14 | [SirketCHT] BULDOZER(06)(20): !saol
19:19:16 | [CMD] oktayacar(6) => /pm 0
19:19:17 | [CMD] DangerTr07(17) => /sirketdorse
19:19:18 | [CMD] nik0tin(26) => /a /afk dedim siz zaten afksiniz dedi :D 
19:19:19 | 
19:19:22 | 
19:19:22 | [CMD] CcCAtakan1907(16) => /rehberler
19:19:23 | [CMD] huseyin(19) => /a :D
19:19:24 | [CMD] BoykoXD(21) => /admgiris
19:19:25 | [CMD] nik0tin(26) => /admins 
19:19:25 | [CMD] huseyin(19) => /a ayn
19:19:27 | [CMD] CcCAtakan1907(16) => /bonus
19:19:30 | [CMD] BoykoXD(21) => /sa,
19:19:30 | [CMD] oktayacar(6) => /pm 0 evet evi aldýn
19:19:30 | [CMD] CcCAtakan1907(16) => /rescue
19:19:31 | [CMD] BoykoXD(21) => /sa
19:19:34 | [CMD] TIRCI(14) => /as
19:19:35 | [CMD] TEXAST5(7) => /as 
19:19:35 | [CMD] huseyin(19) => /as
19:19:35 | TIRCI(14): hg
19:19:36 | [CMD] nik0tin(26) => /geldim 
19:19:36 | [CMD] ScrappeR(10) => /rescue
19:19:38 | [CMD] CcCAtakan1907(16) => /as
19:19:38 | [SirketCHT] BoykoXD(21): ! noldu sezer knk
19:19:39 | [CMD] gorkemu24(11) => /work
19:19:40 | [LOCAL]TR_Berk_TR(0): :D
19:19:40 | [CMD] TR_Berk_TR(0) => /L :D
19:19:41 | BoykoXD(21): hb
19:19:45 | [CMD] nik0tin(26) => /afk
19:19:46 | [CMD] huseyin(19) => /dtemizle 
19:19:46 | [CMD] huseyin(19) => /asay2 s  
19:19:50 | [CMD] nik0tin(26) => /geldim 
19:19:52 | [SirketCHT] DangerTr07(17): ! maaþlarý artýk tek beylerbeyi
19:19:52 | [CMD] ScrappeR(10) => /work
19:19:56 | [SirketCHT] DangerTr07(17): ! verecek PAzar günü 
19:19:57 | [CMD] nik0tin(26) => /admins 
19:19:59 | [CMD] Jexpain(8) => /tamir
19:20:0 | [LOCAL]TR_Berk_TR(0): ÞÝMDÝ BENÝ ARABA ALMA YERÝNE GOTURURSENIZ KÝÞÝ BAÞI 100 K
19:20:0 | [CMD] TR_Berk_TR(0) => /L ÞÝMDÝ BENÝ ARABA ALMA YERÝNE GOTURURSENIZ KÝÞÝ BAÞI 100 K
19:20:1 | [CMD] TEXAST5(7) => /a hüseyin reis 
19:20:2 | [SirketCHT] BULDOZER(06)(20): !sezzer knka
19:20:3 | [CMD] huseyin(19) => /a Evet
19:20:7 | [SirketCHT] BoykoXD(21): ! bana len bundan .d
19:20:9 | [SirketCHT] DangerTr07(17): ! efendim 
19:20:9 | [SirketCHT] BULDOZER(06)(20): !borcun vardý 
19:20:9 | [LOCAL]oktayacar(6): ben
19:20:9 | [CMD] oktayacar(6) => /l ben
