0:0:9 | huso608(11): inceliyorum
19:8:42 | [CMD] tavsanpaladin55(18) => /c lider
19:8:42 | TheTerminator(39) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:8:44 | ibrahimkk(36): dedim
19:8:44 | [CMD] Gazapizm_(26) => /conyoyat24
19:8:44 | [CMD] ArdaBey(35) => /c tavsan /convoylider 35 yaz
19:8:44 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~son defa seyredeyim
19:8:45 | [SirketCHT] Jodor(40): ! ne oldu
19:8:45 | [CMD] Slipy16(10) => /c görev gelmedi
19:8:47 | ordulukral523152(24): evo
19:8:47 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~o yasli gozlerini
19:8:47 | [CMD] FurkanBey(17) => /a adm giris yapamýyormu
19:8:48 | [CMD] Slipy16(10) => /c aloo
19:8:48 | [CMD] BoykoXD(21) => /pm 33 öyle  olsun .d
19:8:48 | [CMD] tavsanpaladin55(18) => /c emirbaba lider
19:8:49 | [CMD] BULDOZER(06)(0) => /rescue
19:8:50 | [CMD] huso608(22) => /duyuru AhirBank
19:8:51 | [CMD] HeRquL(27) => /concoy
19:8:53 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~ artik bulbul otmuyor
19:8:55 | [SirketCHT] ibrahimkk(36): ! docks ta baslattilar yaw
19:8:55 | [SirketCHT] ASLANBEY(28): !bilmm
19:8:56 | [CMD] BeylerBeyi(33) => /pm 21 üyeler çok olsun söz  sana
19:8:57 | [CMD] Slipy16(10) => /c aloo
19:8:57 | [CMD] ArdaBey(35) => /c sensin
19:8:58 | [CMD] Slipy16(10) => /c görev gelmedi
19:8:59 | [CMD] DangerTr07(20) => /SAc
19:8:59 | ordulukral523152(24): evo
19:9:0 | [SirketCHT] ibrahimkk(36): ! harbur basliyodu
19:9:0 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~ gul dolu penceremde
19:9:1 | [CMD] BULDOZER(06)(0) => /modifiye
19:9:1 | [CMD] HeRquL(27) => /convoy
19:9:3 | [CMD] Emirbaba3373(14) => /c ben deðilim
19:9:5 | [CMD] FurkanBey(17) => /a þimdi trumpa ahýr yapmak vardý :D 
19:9:6 | [CMD] tavsanpaladin55(18) => /c bende deðilim ki
19:9:6 | TheTerminator(39) oyuna girdi [IP: 88.227.31.107]
19:9:6 | [CMD] BeylerBeyi(33) => /convoyayril
19:9:6 | [CMD] smod(32) => /kemer
19:9:7 | [SirketCHT] Jodor(40): ! crash mý oldu
19:9:8 | [CMD] BoykoXD(21) => /pm 33 tm
19:9:8 | [CMD] ROBOCO(38) => /work
19:9:8 | Gazapizm_(26): ahýrda ne var beyler
19:9:9 | [CMD] BeylerBeyi(33) => /convoy
19:9:10 | [CMD] DangerTr07(20) => /SAc
19:9:10 | [CMD] ArdaBey(35) => /convoy
19:9:10 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~ yalniz hatiran kaldi aahh
19:9:11 | [SirketCHT] ASLANBEY(28): !ewet
19:9:11 | [CMD] tavsanpaladin55(18) => /convoylider 35
19:9:12 | [CMD] smod(32) => /wor
19:9:13 | [CMD] smod(32) => /work
19:9:13 | HeRquL(27): inek
19:9:15 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~ bos kalan cercevede
19:9:16 | HeRquL(27): büyükbaþ hayvan
19:9:17 | 
19:9:17 | [SirketCHT] Jodor(40): ! neyse ben harbourda katýlýrým size
19:9:19 | [CMD] Gazapizm_(26) => /convoyiptal
19:9:20 | [CMD] BoykoXD(21) => /pm 33 sirket adý ne ya
19:9:22 | [CMD] huseyin(15) => /asay2 ~l~sen oyle diyince o nediyor peki
19:9:23 | [CMD] BULDOZER(06)(0) => /t artýk bascanmý
19:9:23 | [CMD] DangerTr07(20) => /isteksarki 1564 
19:9:23 | [SirketCHT] ASLANBEY(28): !tmm
19:9:26 | [CMD] ibrahimkk(36) => /convoy
19:9:26 | [CMD] Jodor(40) => /srespawncars
19:9:27 | [CMD] BeylerBeyi(33) => /pm 21 Passionis
19:9:28 | [CMD] BeylerBeyi(33) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr... 
19:9:28 | [CMD] Slipy16(10) => /c görev gelmedi
19:9:30 | ordulukral523152(24): ahýra götürürmüsün beni hergqul
19:9:32 | [cCc]HulkHulk[cCc](23): id 29 rahatsýz ediyo
19:9:32 | [CMD] huso608(22) => /duyuru Muthis Isler Var Yok Yok
19:9:34 | [CMD] FurkanBey(17) => /a herqul 
19:9:34 | {FFCC00}TheTerminator(39) {FFFFFF}Kamyoncu olarak spawn oldu.
19:9:34 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~ iyi bayramlar
19:9:36 | {FFCC00}marshallmlp2(29) {FFFFFF}Kamyoncu olarak spawn oldu.
19:9:39 | [CMD] huso608(22) => /work
19:9:39 | [CMD] Slipy16(10) => /c görev gelmedi
19:9:39 | [CMD] HeRquL(27) => /A ?
19:9:40 | DangerTr07(20): Passionis Þirketine Alým Vardir! 
19:9:41 | ibrahimkk(36): gelin convoya
19:9:42 | [CMD] huseyin(15) => /asay2 ~l~N a y s
19:9:42 | Gazapizm_(26): ee soruyom bence gitme diolar
19:9:43 | ROBOCO(38) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:9:43 | [SirketCHT] ibrahimkk(36): ! jodor
19:9:45 | ametmeli(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:9:46 | [SirketCHT] ibrahimkk(36): ! gel convoya
19:9:46 | [CMD] Slipy16(10) => /gobus
19:9:47 | Madness(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:9:48 | [SirketCHT] Jodor(40): ! efendim
19:9:48 | [CMD] BeylerBeyi(33) => /d  128-494-1564
19:9:49 | [CMD] smod(32) => /convoy
19:9:51 | EvoturK(12): h.o
19:9:52 | [CMD] FurkanBey(17) => /a evuþbaba sizi orda aðýrlýcak desene la :D 
19:9:52 | BoykoXD(21): Passionise alým vardýr gelmek isteyenler /pm 
19:9:54 | [SirketCHT] Jodor(40): ! ne convoyu
19:9:54 | ordulukral523152(24): beni götüürün oraya
19:9:54 | DqknMrc(11): adam afk
19:9:56 | HeRquL(27): g,idip nabýcan 
19:9:56 | ordulukral523152(24):  
19:9:57 | [CMD] BeylerBeyi(33) => /convoyayril
19:9:58 | Gazapizm_(26): ee soruyom bence gitme diolar güsül soken cinsten biryermiþ
19:9:58 | [CMD] huso608(22) => /duyuru Tercih Senin
19:9:58 | [CMD] TheTerminator(39) => /motor
19:9:58 | Slipy16(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:9:59 | [SirketCHT] ibrahimkk(36): ! tir
19:10:0 | [CMD] BeylerBeyi(33) => /convoy
19:10:3 | [CMD] Jodor(40) => /sirketdorse
19:10:4 | [SirketCHT] ibrahimkk(36): ! biz kendimiz yapak
19:10:4 | EvoturK(12): hüseyin beni art ye alýr mýsýn
19:10:5 | [CMD] huseyin(15) => /vtamir
19:10:5 | ROBOCO(7) oyuna girdi [IP: 88.227.31.107]
19:10:6 | [CMD] huseyin(15) => /cevir
19:10:6 | DangerTr07(20): Passionis Þirketine Alým Vardir!  /pm 20 Mesaj 
19:10:10 | [CMD] BeylerBeyi(33) => /convoy
19:10:10 | huseyin(15): :D
19:10:12 | TIRCI(9): ahýr istiyom 
19:10:15 | 
19:10:15 | Gazapizm_(26): ahýra çeksenize
19:10:15 | [CMD] huso608(22) => /duyuru Gusul Sart
19:10:16 | [SirketCHT] BoykoXD(21): ! hadi beyler katký yapalým
19:10:18 | Gazapizm_(26): bakalým
19:10:19 | {FFCC00}ROBOCO(7) {FFFFFF}Kamyoncu olarak spawn oldu.
19:10:19 | ordulukral523152(24):  beni götürün 
19:10:22 | FurkanBey(17): töbe
19:10:23 | ibrahimkk(36): ozkanim
19:10:23 | [CMD] huseyin(15) => /dtemizle 
19:10:23 | [CMD] Jodor(40) => /convoy
19:10:23 | [CMD] huseyin(15) => /asay2 s  
19:10:24 | ordulukral523152(24): bakýn 
19:10:24 | [AsLt]Cicek.Abbas.(30): cenabet dolaþmayýn
19:10:25 | [CMD] EvoturK(12) => /asay2 ~g~~h~~h~cuma nedeniyle ahir kapalidir
19:10:25 | [CMD] BULDOZER(06)(0) => /t bas
19:10:27 | EvoturK(12): evet
19:10:28 | TIRCI(9): ahýr istiyom 
19:10:28 | kiral(37): bekle haritaya bakam
19:10:29 | [CMD] ArdaBey(35) => /pm 20 sende mi gitin be knk 
19:10:29 | [SirketCHT] DangerTr07(20): ! dead 'a ilk kastigi için usta týrcý yaptým .d
19:10:30 | ordulukral523152(24):   sonra gidelim
19:10:30 | ibrahimkk(36): ozkanimmm napiyon?
19:10:31 | [SirketCHT] Jodor(40): ! þirkete ýþýnlan
19:10:34 | TheTerminator(39) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:10:34 | ordulukral523152(24):  ahýr istiyom
19:10:35 | Gazapizm_(26): nie bro 
19:10:35 | [CMD] huseyin(15) => /asay2 ~g~~h~~h~yarin acik ama
19:10:36 | [CMD] FurkanBey(17) => /atamir
19:10:37 | EvoturK(12): 4 gusülle dolaþýyorum 1 haftadýr çekmiyorum
19:10:38 | [CMD] BULDOZER(06)(0) => /t ben bakarým sen bas
19:10:39 | [SirketCHT] ibrahimkk(36): ! harburdayim
19:10:39 | [CMD] DangerTr07(20) => /pm 35 Lo 3'üncü þirket bozokun :D 
19:10:39 | EvoturK(12): iyidir sen napýyon ibrahim
19:10:40 | ROBOCO(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:10:40 | [CMD] buyukustadbitti(25) => /FPS
19:10:42 | [CMD] BULDOZER(06)(0) => /t ben bakarým sen bas bassssss
19:10:42 | [CMD] DqknMrc(11) => /rescue
19:10:43 | Gazapizm_(26): link mi var
19:10:44 | [CMD] huseyin(15) => /asay2 ~g~~h~~h~bugun en az 4 gusul sart
19:10:44 | ibrahimkk(36): iyi askim
19:10:45 | [SirketCHT] Jodor(40): ! buradan gezeriz sonra docksa geçeriz aslanlarýn convoyuna
19:10:46 | [CMD] huso608(22) => /duyuru Cuma Dolayisi ile Ahir Kapalidir
19:10:48 | [CMD] BULDOZER(06)(0) => /t ben bakarým sen bas baaaaassssss
19:10:48 | [LOCAL]DangerTr07(20): oo ibrahim kolay gelsin 
19:10:48 | [CMD] DangerTr07(20) => /l oo ibrahim kolay gelsin 
19:10:49 | [CMD] buyukustadbitti(25) => /FPS
19:10:49 | [CMD] BeylerBeyi(33) => /pm 20 maaþ günü ne kadar kasmýþsa þirketten  deðilde cebimden veririm ben o  katkýlar þirkete kalýr ?
19:10:50 | [CMD] ArdaBey(35) => /pm 20 what
19:10:50 | [CMD] DangerTr07(20) => /asiriyuk
19:10:51 | [SirketCHT] ibrahimkk(36): ! okey
19:10:51 | TIRCI(9): yarýn ben yokum ahýr isterim 
19:10:51 | Gazapizm_(26): :D
19:10:52 | [CMD] FurkanBey(17) => /musait
19:10:54 | [LOCAL]ibrahimkk(36): saol
19:10:54 | [CMD] ibrahimkk(36) => /l saol
19:10:54 | [CMD] FurkanBey(17) => /a gelcem
19:10:56 | [CMD] CagatayBro(34) => /convoy
19:10:57 | [CMD] ibrahimkk(36) => /rescue
19:10:57 | {FFCC00}[cCc]HulkHulk[cCc](23) {FFFFFF}Kamyoncu olarak spawn oldu.
19:10:58 | ordulukral523152(24): ne var oradaki abi
19:10:59 | [CMD] BeylerBeyi(33) => /pm 20 kalrý
19:11:0 | [SirketCHT] Jodor(40): ! harboura pardon
19:11:0 | EvoturK(12): hedef 1 milyon gusül
19:11:1 | [CMD] BeylerBeyi(33) => /pm 20 kalýr
19:11:1 | [CMD] CAKIR34(16) => /sorusor
19:11:1 | CagatayBro(34): arkadaþlar niye cýktýnýz
19:11:2 | [SirketCHT] DangerTr07(20): ! aynne öyle beyler
19:11:2 | Gazapizm_(26): çeken  
19:11:4 | CagatayBro(34): geldim
19:11:7 | ordulukral523152(24): gazapizm gel gezek
19:11:8 | [CMD] CagatayBro(34) => /convoyu
19:11:9 | [CMD] CagatayBro(34) => /convoy
19:11:9 | [CMD] huseyin(15) => /asay2 ~g~~h~~h~5 yapin siz garanti olsun
19:11:10 | [CMD] Jodor(40) => /srespawncars
19:11:10 | [CMD] CAKIR34(16) => /sorusor þirket ranklarýna nasýl bakýyoruz
19:11:12 | EvoturK(12): ahýrda pompa var gelmeyin
19:11:12 | [AsLt]Cicek.Abbas.(30): @24 itiþ kakýþ var
19:11:13 | [CMD] huso608(22) => /duyuru Heyecan Aksiyon Hepsi var
19:11:13 | ordulukral523152(24):  þirkete gel
19:11:15 | [CMD] CAKIR34(16) => /sorusor þirket ranklarýna nasýl bakma
19:11:16 | [CMD] HeRquL(27) => /duyuru ahir icin rez basvurusu acik rez yaz
19:11:18 | [CMD] huso608(22) => /work
19:11:18 | BULDOZER(06)(0): :D tmm huseyin
19:11:18 | [CMD] DangerTr07(20) => /pm 33 þöyle yapacaz iþte kastigini gördükten sonra pazar günü elden para 
19:11:19 | [CMD] ibrahimkk(36) => /pm 12 a1 versene direk alirsin
19:11:19 | [CMD] HeRquL(27) => /duyuru ahir icin rez basvurusu acik rez yaz
19:11:20 | [CMD] huseyin(15) => /sorular
19:11:23 | BULDOZER(06)(0): :D tmm huseyin5 yaparýz
19:11:23 | [CMD] Gazapizm_(26) => /rez
19:11:24 | CAKIR34(16): rez
19:11:25 | huseyin(15): :D
19:11:26 | [cCc]HulkHulk[cCc](23): rez
19:11:26 | [CMD] BeylerBeyi(33) => /pm 20 aynen öyle daha iyi
19:11:28 | Gazapizm_(26):  rez
19:11:29 | TIRCI(9): ahýr isterim 
19:11:30 | [CMD] EvoturK(12) => /fsetlevel 36 1
19:11:31 | Gazapizm_(26):  rez
19:11:31 | ibrahimkk(36): a
19:11:32 | [CMD] DangerTr07(20) => /pm 33 sonra Katkiyi sýfýrlýcaz sonra fazla kastikdan sonra Þirket kasasýndan veririz .
19:11:34 | ibrahimkk(36): yaw
19:11:40 | TIRCI(9): rez 
19:11:41 | ibrahimkk(36): :D
19:11:42 | [CMD] BeylerBeyi(33) => /pm 20 aynen
19:11:42 | [CMD] CagatayBro(34) => /convoy
19:11:42 | ibrahimkk(36): fake
19:11:43 | ordulukral523152(24): rez
19:11:54 | [CMD] ibrahimkk(36) => /rescue
19:11:54 | [CMD] CagatayBro(34) => /c konvoydakiler kimler
19:11:54 | [CMD] CagatayBro(34) => /c konvoydakiler kimler
19:11:54 | DangerTr07(20): t
19:11:54 | [CMD] BoykoXD(21) => /admins
19:11:54 | TIRCI(9): ahýrda yatak rezerve edýcem 
19:11:54 | [CMD] BULDOZER(06)(0) => /t la bas bas
19:11:54 | CagatayBro(34): a
19:11:55 | [SirketCHT] ibrahimkk(36): ! ben bi relog
19:11:55 | ArdaBey(35): lagýna uçayým
19:11:56 | ASLANBEY(28): bug
19:11:57 | ibrahimkk(36): relog
19:11:57 | [CMD] huseyin(15) => /asay2 ~g~~h~~h~bugun cuma kapali ahir
19:11:57 | [CMD] Jodor(40) => /kemer
19:11:58 | [CMD] BeylerBeyi(33) => /pm 20 ben diðer ayýn 1inde 20 kiþi bide þirket kasasýna parada eklerim
19:12:0 | [CMD] HeRquL(27) => /convoyayril
19:12:0 | [CMD] EvoturK(12) => /atamir
19:12:0 | [CMD] Jodor(40) => /work
19:12:0 | Emirbaba3373(14): bug
19:12:0 | Gazapizm_(26):  rez
19:12:1 | [CMD] BeylerBeyi(33) => /d  128-494-1564
19:12:1 | ibrahimkk(36): relog
19:12:1 | [CMD] ASLANBEY(28) => /ben gg
19:12:2 | ibrahimkk(36) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:12:3 | [CMD] ArdaBey(35) => /c düþtüm suya
19:12:3 | buyukustadbitti(25): bende admin olmak istiom napacam
19:12:4 | [CMD] HeRquL(27) => /convoy
19:12:5 | [CMD] ArdaBey(35) => /c lagdan
19:12:5 | [CMD] EvoturK(12) => /atamir
19:12:6 | [CMD] [AsLt]Cicek.Abbas.(30) => /tamir
19:12:6 | [CMD] ArdaBey(35) => /convoyuye
19:12:7 | ASLANBEY(28): ben gg
19:12:7 | [CMD] Emirbaba3373(14) => /c bende
19:12:8 | Gazapizm_(26):  rez
19:12:9 | DangerTr07(20): aman alalhim bug 
19:12:9 | CAKIR34(16): ya map yüklenmedi denize düþtüm bu nedir yav
19:12:10 | [CMD] HeRquL(27) => /goto 35
19:12:11 | [CMD] BULDOZER(06)(0) => /t yeter bak bakma su haitya ben bakarým gerekrinde
19:12:11 | [CMD] BeylerBeyi(33) => /asay Ýstek þarkýnýz çalýnýyor iyi oyunlar dileriz... 
19:12:12 | [CMD] tavsanpaladin55(18) => /c haydi g.o
19:12:12 | [CMD] huso608(22) => /duyuru Admin Olsanda Ahir Farketmez
19:12:13 | [CMD] ordulukral523152(24) => /rescue
19:12:14 | marshallmlp2(29) oyundan cIktI (Hata/Crash) (IP: 78.166.204.155)
19:12:16 | [CMD] ASLANBEY(28) => /convoyayril
19:12:16 | [CMD] BeylerBeyi(33) => /d  494-1564
19:12:16 | [CMD] huseyin(15) => /asay2 ~g~~h~~h~sosyete ahiri acik ama isterseniz
19:12:17 | [CMD] ArdaBey(35) => /convoyayril
19:12:20 | [CMD] ASLANBEY(28) => /rescue
19:12:20 | [CMD] ordulukral523152(24) => /rescue
19:12:21 | CagatayBro(34): Konvoydaki arkadaþlar kimler
19:12:21 | EvoturK(12): sosyete ahýrý asfa
19:12:22 | [CMD] ArdaBey(35) => /meslek
19:12:24 | DangerTr07(20): :DD
19:12:24 | huseyin(15): safasf,
19:12:25 | {FFCC00}ArdaBey(35) {FFFFFF}Polis olarak spawn oldu.
19:12:26 | [CMD] huso608(22) => /duyuru Her Canli Ahiri Tadacaktir
19:12:28 | [CMD] BeylerBeyi(33) => /c ben
19:12:28 | Gazapizm_(26): ya etk ya etk 
19:12:28 | [CMD] kiral(37) => /telsiz ben bakmadým daha sonra
19:12:28 | huseyin(15): Tugiste var
19:12:32 | [CMD] Emirbaba3373(14) => /convoyayril
19:12:34 | Gazapizm_(26): ben tatmadým
19:12:34 | [CMD] CAKIR34(16) => /rescur
19:12:37 | [CMD] ArdaBey(35) => /rescue
19:12:38 | [CMD] Emirbaba3373(14) => /meslek
19:12:38 | ibrahimkk(7) oyuna girdi [IP: 217.25.19.149]
19:12:39 | DangerTr07(20): arda 
19:12:40 | [CMD] ASLANBEY(28) => /sirket
19:12:40 | TIRCI(9): ahir isterim 
19:12:41 | ArdaBey(35): efm
19:12:42 | {FFCC00}Emirbaba3373(14) Otobus Soforu olarak spawn oldu.
19:12:43 | [CMD] CAKIR34(16) => /goreviptal
19:12:43 | Gazapizm_(26): ya etk ya ahýr 
19:12:44 | [CMD] CAKIR34(16) => /rescur
19:12:46 | [CMD] CagatayBro(34) => /convoyat DqknMrc
19:12:47 | [CMD] BoykoXD(21) => /atamir
19:12:47 | [CMD] CAKIR34(16) => /rescue
19:12:49 | [CMD] DangerTr07(20) => /pm 35 qnq art gibiyiz bizde :D
19:12:49 | [CMD] Emirbaba3373(14) => /convoy
19:12:50 | [CMD] CagatayBro(34) => /convoy
19:12:50 | Gazapizm_(26): etk d eyapýn 
19:12:51 | [cCc]HulkHulk[cCc](23): ahýr 
19:12:53 | [CMD] CagatayBro(34) => /work
19:12:55 | [CMD] huso608(22) => /duyuru Tadilat Dolayisi ile Ahir Kapalidir
19:12:56 | [CMD] ArdaBey(35) => /pm 20 why
19:12:57 | Gazapizm_(26): etk d eyapýn
19:12:57 | [CMD] ArdaBey(35) => /meslek
19:12:57 | [CMD] HeRquL(27) => /rescue
19:13:0 | BULDOZER(06)(0): :D
19:13:0 | [CMD] Jodor(40) => /vtamir
19:13:3 | [CMD] huso608(22) => /work
19:13:5 | marshallmlp2(8) oyuna girdi [IP: 78.166.204.155]
19:13:5 | [SirketCHT] ASLANBEY(28): !jodor konvoy kur
19:13:5 | [CMD] DangerTr07(20) => /pm 35 Bozok,Art,psn ortak þirketler :D 
19:13:8 | [CMD] CagatayBro(34) => /c biz gideli
19:13:10 | BeylerBeyi(33): Taziye nedeniyle kapalýyýz
19:13:11 | {FFCC00}ArdaBey(35) {FFFFFF}Kamyoncu olarak spawn oldu.
19:13:12 | Gazapizm_(26): oraya çek
19:13:12 | 
19:13:12 | Emirbaba3373(14): otobüs konvoyu kurulmuþtu skor kasýlmak isteyen sf ye
19:13:12 | [CMD] BeylerBeyi(33) => /asiriyuk
19:13:13 | [CMD] DangerTr07(20) => /fuel 
19:13:14 | [SirketCHT] CAKIR34(16): ! hangi meslekler þirkete gelir saðlýyo
19:13:14 | BoykoXD(21): Olum bugün cuma ya ahýr olmaz .d
19:13:15 | {FFCC00}marshallmlp2(8) {FFFFFF}Kamyoncu olarak spawn oldu.
19:13:15 | [CMD] TRmustafa(19) => /engine
19:13:15 | [SirketCHT] Jodor(40): ! ne oldu
19:13:16 | [CMD] BeylerBeyi(33) => /asiriyuk
19:13:17 | Gazapizm_(26): sosyeteye
19:13:18 | [CMD] BeylerBeyi(33) => /asiriyuk
19:13:18 | [SirketCHT] DangerTr07(20): ! týrcý 
19:13:20 | [CMD] marshallmlp2(8) => /sa
19:13:20 | [CMD] ASLANBEY(28) => /sirketdorse
19:13:21 | [CMD] HeRquL(27) => /convoy
19:13:22 | [CMD] Emirbaba3373(14) => /as
19:13:23 | [CMD] Jodor(40) => /as
19:13:24 | [CMD] TIRCI(9) => /as
19:13:24 | [CMD] CagatayBro(34) => /as
19:13:25 | [SirketCHT] DangerTr07(20): ! otobüs ise convoy ise 
19:13:25 | [CMD] Emirbaba3373(14) => /kemer
19:13:27 | [CMD] [AsLt]Cicek.Abbas.(30) => /as
19:13:28 | [CMD] ArdaBey(35) => /pm 20 ortak olunca ne fayda sonuçda gelen para o þirketin kasasýna bizim þirketin kasasýna gelmiyor :s
19:13:28 | [CMD] marshallmlp2(8) => /convoy
19:13:30 | [SirketCHT] ASLANBEY(28): !lagdan uçtum
19:13:31 | [CMD] EvoturK(12) => /as
19:13:32 | 
19:13:34 | {FFCC00}ibrahimkk(7) {FFFFFF}Kamyoncu olarak spawn oldu.
19:13:34 | [CMD] ArdaBey(35) => /sirket
19:13:34 | [SirketCHT] Jodor(40): ! tamam
19:13:34 | [CMD] ASLANBEY(28) => /convoy
19:13:35 | smod(32): as
19:13:35 | [CMD] marshallmlp2(8) => /meslek
19:13:36 | [CMD] BULDOZER(06)(0) => /t bu bende
19:13:37 | [CMD] huso608(22) => /duyuru Cumartesi Sabahtan Acigiz Bekliyoruz
19:13:37 | Emirbaba3373(14): gazipizm gelcenmi konvoya
19:13:38 | ibrahimkk(7): evocum
19:13:38 | Gazapizm_(26): etk de yapýn abi
19:13:38 | [CMD] FurkanBey(17) => /musait
19:13:39 | [SirketCHT] Jodor(40): ! görevi vereyim
19:13:40 | {FFCC00}marshallmlp2(8) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
19:13:41 | [CMD] DangerTr07(20) => /pm 35 öyle deme ama :D 
19:13:44 | [CMD] Emirbaba3373(14) => /modifiye
19:13:44 | ibrahimkk(7): neyse afk
19:13:44 | [CMD] marshallmlp2(8) => /rescue
19:13:45 | [CMD] ibrahimkk(7) => /afk
19:13:47 | [SirketCHT] CAKIR34(16): ! þu ranklara nasýl bakýyoruz ya byle liste vardý týrcý usta týrcý yardýmcý patron falan diye
19:13:51 | Gazapizm_(26): ahýra bakýp çýkalým iþte
19:13:51 | [CMD] BULDOZER(06)(0) => /t bas
19:13:54 | [SirketCHT] DangerTr07(20): ! /sirket üyeler online 
19:13:55 | Gazapizm_(26): sonra etk 
19:13:56 | [OTOBUSCU] smod, Las Venturas Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 243 Saniye
19:13:58 | [CMD] FurkanBey(17) => /a mic i birazdan açýcam dorse kaybolur yoksa
19:14:0 | [CMD] DangerTr07(20) => /sirket
19:14:3 | huso608(22): tadilat var tadilat
19:14:5 | [CMD] BULDOZER(06)(0) => /t özel polisde geldi 
19:14:8 | [CMD] Emirbaba3373(14) => /convoyayril
19:14:9 | [SirketCHT] Jodor(40): ! aslan verdant port-el quest silah yükü al gel yanýma burdan baþlarýz
19:14:10 | DangerTr07(20): Ahýr'da Tadilat vardir
19:14:10 | ordulukral523152(24): abi 
19:14:11 | [CMD] Emirbaba3373(14) => /work
19:14:12 | [CMD] huseyin(15) => /dtemizle 
19:14:12 | [CMD] huseyin(15) => /asay2 s  
19:14:12 | [CMD] FurkanBey(17) => /atamir
19:14:16 | huso608(22): buyur baskan
19:14:16 | [CMD] HeRquL(27) => /admiol
19:14:17 | [CMD] FurkanBey(17) => /a danger
19:14:18 | [SirketCHT] CAKIR34(16): ! benim ne olduguma deðil /ranklar listesi gibi
19:14:18 | [CMD] BULDOZER(06)(0) => /t özel polisde geldi daha hýzlý olmamýz lazým
19:14:19 | Gazapizm_(26): ne tadilatý ineklerimi tamir edionuz
19:14:19 | [CMD] HeRquL(27) => /admimol
19:14:19 | ordulukral523152(24): gazapazim lirket gel
19:14:22 | [CMD] DangerTr07(20) => /A ? 
19:14:23 | [CMD] DqknMrc(11) => /sirketdorse
19:14:24 | [CMD] HeRquL(27) => /adminol
19:14:25 | [CMD] HeRquL(27) => /adminol
19:14:25 | [SirketCHT] Jodor(40): ! ya da bekle þirkete geleyim
19:14:25 | [CMD] buyukustadbitti(25) => /work
19:14:26 | HeRquL(27) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:14:26 | [CMD] Gazapizm_(26) => /rescue
19:14:27 | huseyin(15): bb
19:14:29 | [SirketCHT] DangerTr07(20): ! /ranklar 
19:14:29 | [CMD] huseyin(15) => /dtemizle 
19:14:29 | BULDOZER(06)(0): admin polisin basarýmý varmý
19:14:29 | TIRCI(9): bb
19:14:29 | [CMD] huseyin(15) => /asay2 s  
19:14:29 | BoykoXD(21): bb
19:14:29 | ArdaBey(35) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:14:29 | BeylerBeyi(33): ßß
19:14:31 | BULDOZER(06)(0): admin polisin basarýmý varmý!
19:14:32 | [CMD] FurkanBey(17) => /a kolsuzlara 31 çekme makinesi için baðýþ yaptým 
19:14:32 | huseyin(15): var
19:14:32 | smod(32): lan
19:14:33 | ordulukral523152(24):  abi beni oraya atýn gelirim
19:14:34 | huseyin(15):  /basarimlar
19:14:35 | Emirbaba3373(14): pardon
19:14:35 | [CMD] huseyin(15) => /cantazele
19:14:36 | CAKIR34(16) oyundan cIktI (Hata/Crash) (IP: 88.231.134.178)
19:14:37 | huso608(22):   /basarimlar
19:14:38 | Gazapizm_(26): etk +1 
19:14:38 | [CMD] DangerTr07(20) => /A Tm 
19:14:39 | [KAMYONCU] Jodor, Veardant Port'den El Quebrados Depot'e Silah tasidi. Kazanc: 90936$, 2 Skor ve 5 EXP Sure: 119 Saniye
19:14:40 | [CMD] smod(32) => /rescue
19:14:40 | TIRCI(9): ahir isteriz 
19:14:40 | BULDOZER(06)(0): kacda veriyor
19:14:41 | [CMD] huseyin(15) => /vtamir
19:14:43 | [CMD] DangerTr07(20) => /A enesede yap :D 
19:14:43 | [SirketCHT] ASLANBEY(28): !ben harbour giþesindeyým
19:14:45 | BULDOZER(06)(0): kacda veriyor polis
19:14:46 | [CMD] DangerTr07(20) => /A ç:QWEQÇe 
19:14:46 | [CMD] Jodor(40) => /rescue
19:14:51 | huseyin(15): Tmm
19:14:53 | [CMD] huseyin(15) => /cleanupcars
19:14:55 | [SirketCHT] Jodor(40): ! tamam ben de harboura geliyorum
19:14:55 | [CMD] huseyin(15) => /meslek
