0:0:1 | Axefi(21): :D
18:18:4 | [CMD] DarkFlow(7) => /gobus
18:18:5 | {FFCC00}Hz.EvoturK(15) {FFFFFF}Kamyoncu olarak spawn oldu.
18:18:5 | [CMD] Moskova_Kurdu(10) => /bangor MuratBurul
18:18:6 | [CMD] Necdet03(22) => /work
18:18:8 | [CMD] HeRquL(0) => /a aldým 
18:18:9 | {FFCC00}Bafetlon(13) {FFFFFF}Kamyoncu olarak spawn oldu.
18:18:12 | {FFCC00}Gezegen(9) {FFFFFF}Polis olarak spawn oldu.
18:18:13 | [CMD] H.R.N.(11) => /rescue
18:18:13 | [CMD] Hz.EvoturK(15) => /rescue
18:18:14 | [CMD] DangerTr07(14) => /A hýyar iyi anlam 
18:18:14 | [KICK] Moskova_Kurdu(10), Bafetlon(13)'i sunucudan attý. Sebep: Banlýsýn
18:18:14 | [CMD] Moskova_Kurdu(10) => /kick 13 Banlýsýn
18:18:15 | Bafetlon(13) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
18:18:16 | Aftosh_Qaqash(6): sezzer
18:18:16 | [CMD] [TR]MaroNBeReTSs(16) => /sirket
18:18:17 | [CMD] sezzer(18) => /work
18:18:18 | [CMD] DangerTr07(14) => /A Salatalýk len 
18:18:20 | sezzer(18): efm
18:18:23 | [SirketCHT] Moskova_Kurdu(10): ! Yaw 
18:18:23 | [CMD] DarkFlow(7) => /icerigir
18:18:24 | DangerTr07(14): daþ 
18:18:25 | DangerTr07(14): adaþ 
18:18:26 | [CMD] TEXAST5(17) => /kemer 
18:18:27 | Aftosh_Qaqash(6): senin ismin sezer demi
18:18:27 | [CMD] DarkFlow(7) => /isyerimenu
18:18:29 | sezzer(18): efm adaþ
18:18:29 | [SirketCHT] Moskova_Kurdu(10): ! Onu ben dün kastým 
18:18:30 | Hz.EvoturK(15): narkotik baskýný gibi senin aþkýn.
18:18:31 | Aftosh_Qaqash(6): senin ismin sezer demi
18:18:33 | DangerTr07(14): ev yok la :( 
18:18:34 | [SirketCHT] [TR]MaroNBeReTSs(16): ! :D 
18:18:36 | [CMD] DarkFlow(7) => /isyerimenu
18:18:40 | Hz.EvoturK(15): narkotik baskýný gibi senin aþkýn. Yat yere yat yat
18:18:40 | [CMD] Gezegen(9) => /gobus
18:18:41 | [SirketCHT] [TR]MaroNBeReTSs(16): ! ayný anda baþlýyacaz 
18:18:41 | [CMD] BeylerBeyi(21) => /pm 16 maron
18:18:41 | [CMD] DarkFlow(7) => /rescue
18:18:43 | sezzer(18): bu ne saçma soru lan
18:18:44 | [SirketCHT] [TR]MaroNBeReTSs(16): ! gel devam edelim 
18:18:46 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 he 
18:18:47 | [CMD] BeylerBeyi(21) => /pm 16 rezidansýný satýyormusun aga
18:18:48 | [CMD] sezzer(18) => /work
18:18:49 | Aftosh_Qaqash(6): "D
18:18:51 | DangerTr07(14): silinmiþ la 
18:18:51 | [SirketCHT] Moskova_Kurdu(10): ! Ben 60lvl olcam 
18:18:54 | Hz.EvoturK(15): beyler
18:18:57 | Hz.EvoturK(15): +18 leri kapatýn
18:18:57 | [CMD] Moskova_Kurdu(10) => /a texo
18:18:58 | [CMD] Moskova_Kurdu(10) => /a texo
18:18:58 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 hangisi 
18:18:58 | [CMD] Moskova_Kurdu(10) => /a texo
18:18:58 | [CMD] Moskova_Kurdu(10) => /a texo
18:18:58 | Aftosh_Qaqash(6): danger
18:19:0 | DangerTr07(14): aha burasi galiba 
18:19:1 | [CMD] DarkFlow(7) => /kask
18:19:1 | [CMD] Moskova_Kurdu(10) => /a spec at 
18:19:3 | [CMD] BeylerBeyi(21) => /pm 16 lv deki
18:19:4 | [CMD] DarkFlow(7) => /kemer
18:19:4 | [CMD] TEXAST5(17) => /spec 10 
18:19:7 | [CMD] Aftosh_Qaqash(6) => /pm 14 arkadas olalimmi
18:19:9 | [CMD] DarkFlow(7) => /kemer
18:19:11 | [CMD] Moskova_Kurdu(10) => /a attýn mý
18:19:11 | [CMD] DarkFlow(7) => /kemer
18:19:11 | [SirketCHT] Hz.EvoturK(15): ! danger banla qnq beni
18:19:11 | sezzer(18): ya adaþ boþ yapma ya
18:19:14 | [CMD] DangerTr07(14) => /pm 6 olur :D
18:19:16 | [CMD] TEXAST5(17) => /A he devam 
18:19:17 | [CMD] Necdet03(22) => /goreviptal
18:19:18 | [CMD] DangerTr07(14) => /A süt iç 
18:19:19 | [CMD] Necdet03(22) => /rescue
18:19:20 | [CMD] Moskova_Kurdu(10) => /a izle
18:19:20 | [CMD] Aftosh_Qaqash(6) => /pm 14 ismin ne yasin kac
18:19:21 | [SirketCHT] DangerTr07(14): ! süt iç 
18:19:21 | [CMD] Moskova_Kurdu(10) => /work
18:19:24 | [CMD] Aftosh_Qaqash(6) => /pm 14 :D
18:19:24 | [CMD] sezzer(18) => /work
18:19:25 | [SirketCHT] BeylerBeyi(21): ! faydalýdýr
18:19:26 | [SirketCHT] Hz.EvoturK(15): ! banla amk
18:19:27 | [CMD] Necdet03(22) => /work
18:19:28 | [CMD] Moskova_Kurdu(10) => /fly
18:19:30 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 hüseyinin yanýndaki olan evmi 
18:19:31 | [CMD] Konyali42(20) => /d bitti
18:19:32 | [CMD] DarkFlow(7) => /galeri
18:19:34 | [CMD] BeylerBeyi(21) => /pm 16 yok
18:19:36 | [CMD] DangerTr07(14) => /ban 15
18:19:37 | [CMD] Aftosh_Qaqash(6) => /pm 14 ismin ne yasin kac
18:19:39 | [CMD] Aftosh_Qaqash(6) => /pm 14 :D
18:19:39 | [CMD] Hz.EvoturK(15) => /meslek
18:19:40 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:19:43 | [CMD] BeylerBeyi(21) => /asay Ýstek Þarkýnýz Çalýnýyor. Ýyi Oyunlar Dileriz...
18:19:44 | sezzer(18): olm bu pizzacýyla efsane exp kasýlýyo lan sf de
18:19:44 | {FFCC00}Hz.EvoturK(15) Otobus Soforu olarak spawn oldu.
18:19:45 | [CMD] Gezegen(9) => /rescue
18:19:46 | [CMD] sezzer(18) => /work
18:19:46 | [CMD] DangerTr07(14) => /a admine küfürün cezasi neydi
18:19:46 | [CMD] Hz.EvoturK(15) => /rescue
18:19:47 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 hangisi la 
18:19:48 | [ARAC] DarkFlow(7), 311 ID'li HotringRacerA model araci 70000000$'a satin aldi.
18:19:52 | [CMD] H.R.N.(11) => /araba
18:19:53 | [CMD] DangerTr07(14) => /A Söyleyin kankylerim 
18:19:54 | [CMD] TEXAST5(17) => /A ailevi küfür ise 
18:19:55 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:19:55 | [CMD] BeylerBeyi(21) => /pm 16 lv de otelin arkasýnda
18:19:55 | [CMD] DarkFlow(7) => /araba
18:19:57 | [CMD] TEXAST5(17) => /A 15 gün ban 
18:19:59 | Aftosh_Qaqash(6): sezzer
18:19:59 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:20:1 | [CMD] Moskova_Kurdu(10) => /a normal küfür 2 
18:20:4 | [CMD] DarkFlow(7) => /araba
18:20:4 | Hz.EvoturK(15): tren sürmek ban sebebimi uyarýmý
18:20:5 | [CMD] DangerTr07(14) => /a tm
18:20:5 | Aftosh_Qaqash(6): bana 1 tane pizza getir
18:20:7 | Aftosh_Qaqash(6): bana 1 tane pizza getir
18:20:7 | [CMD] BeylerBeyi(21) => /pm 16 rescueden lv ýþýnlan göstereyim
18:20:8 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 he hüseyin sildirmiþ kendininkini 
18:20:8 | [CMD] BeylerBeyi(21) => /rescue
18:20:9 | [CMD] DangerTr07(14) => /ban
18:20:9 | [CMD] TEXAST5(17) => /A o hakaret 
18:20:11 | [CMD] sezzer(18) => /work
18:20:12 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 oradayým 
18:20:18 | [CMD] Axefi(12) => /cevir
18:20:18 | [CMD] Moskova_Kurdu(10) => /a izledin mi texo 
18:20:19 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 yok satmýyorum orayý ben moskova yada muyaya sor 
18:20:20 | [CMD] BeylerBeyi(21) => /pm 16 he satýyormusun ?
18:20:20 | [CMD] DangerTr07(14) => /a küfür diyoruz 
18:20:20 | Konyali42(20): mosko
18:20:21 | [CMD] TEXAST5(17) => /a he 
18:20:23 | [CMD] Moskova_Kurdu(10) => /dorseget 440
18:20:24 | Aftosh_Qaqash(6): kim aliyor bu kadar pizzayi 
18:20:26 | [CMD] DangerTr07(14) => /A 'amk' dedi bana :#
18:20:26 | [CMD] sezzer(18) => /work
18:20:28 | [CMD] DarkFlow(7) => /modifiye
18:20:28 | Necdet03(22): ben
18:20:29 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:20:29 | [CMD] Moskova_Kurdu(10) => /a Kim dedi
18:20:29 | Konyali42(20): dün senin eve pizza götürdüm yedinmi
18:20:32 | [CMD] Moskova_Kurdu(10) => /a ss aldýn mý
18:20:33 | [CMD] DangerTr07(14) => /A evotürk
18:20:34 | Aftosh_Qaqash(6): :D
18:20:35 | [CMD] DangerTr07(14) => /A aldim 
18:20:37 | [SirketCHT] [TR]MaroNBeReTSs(16): ! moski kaç ev var 
18:20:38 | [CMD] Moskova_Kurdu(10) => /a Banla 
18:20:38 | [CMD] BeylerBeyi(21) => /pm 16 sat be çok para veririm .D
18:20:39 | Aftosh_Qaqash(6): banami
18:20:40 | [SirketCHT] Moskova_Kurdu(10): ! 3 
18:20:40 | [CMD] HeRquL(0) => /work
18:20:41 | [CMD] BeylerBeyi(21) => /araba
18:20:41 | [SirketCHT] Hz.EvoturK(15): ! danger goto ol knk
18:20:41 | [CMD] Gezegen(9) => /modifiye
18:20:46 | [CMD] TEXAST5(17) => /A daner 
18:20:46 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 veriyonmu 200M 
18:20:48 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:20:50 | [SirketCHT] Aftosh_Qaqash(6): !danger konus knk :D
18:20:50 | sezzer(18): knk benim þarký baþlayýnca söle kaçýrýrým ben yoksa :D
18:20:52 | [CMD] BeylerBeyi(21) => /d herqul allah belaný vermesin lo
18:20:52 | Konyali42(20): yok moskova kurdunun evine
18:20:52 | [SirketCHT] Aftosh_Qaqash(6): !danger konus knk :D
18:20:52 | [CMD] DangerTr07(14) => /a kaçgün 3 mü 2 mi
18:20:53 | [CMD] TEXAST5(17) => /a admin grubada sor 
18:20:53 | [CMD] Moskova_Kurdu(10) => /a Admine Saygýsýzlýk yaz sebebee
18:20:54 | [CMD] TEXAST5(17) => /a admin grubada sor 
18:20:56 | [CMD] DangerTr07(14) => /A tm
18:20:57 | [SirketCHT] [TR]MaroNBeReTSs(16): ! rezidansa talip çýktý çok para veririm diyor 200M çektim  :DWQS A
18:20:59 | [CMD] BeylerBeyi(21) => /pm 16 domaliyimmi .D
18:20:59 | [CMD] TEXAST5(17) => /A ne olur ne olmaz 
18:21:0 | Axefi(12): admin mezarlýðý ne :D
18:21:0 | [CMD] Moskova_Kurdu(10) => /a 2 
18:21:1 | Konyali42(20): tmm
18:21:2 | [SirketCHT] DangerTr07(14): ! seni banlatacam gör sen 
18:21:3 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 olur 
18:21:3 | Hz.EvoturK(15): adminler tren sürmek uyarý dimi
18:21:4 | [CMD] HeRquL(0) => /d niye
18:21:7 | [SirketCHT] [TR]MaroNBeReTSs(16): ! domalayýmmý diyor .d 
18:21:7 | [CMD] sezzer(18) => /work
18:21:8 | TEXAST5(17): uyarý @15 bey 
18:21:10 | [CMD] BeylerBeyi(21) => /d bu þarký zaten varmýþ mp3 de
18:21:11 | Hz.EvoturK(15): ok
18:21:11 | [CMD] TEXAST5(17) => /spec 15 
18:21:11 | [SirketCHT] Aftosh_Qaqash(6): !nie 
18:21:15 | [CMD] TEXAST5(17) => /slap 15 
18:21:16 | [CMD] HeRquL(0) => /a bu remic
18:21:17 | [SirketCHT] Aftosh_Qaqash(6): !benimi :D
18:21:18 | [SirketCHT] Moskova_Kurdu(10): ! Þirketin karþýsýndaki yer mi 
18:21:20 | Axefi(12): tren sürülüyormu ki ?
18:21:20 | H.R.N.(11): tekno ev satan varmý
18:21:20 | Hz.EvoturK(15): hay
18:21:20 | [SirketCHT] DangerTr07(14): ! yok 
18:21:21 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 max. ne kadar verecen 
18:21:21 | [CMD] Moskova_Kurdu(10) => /work
18:21:22 | [SirketCHT] [TR]MaroNBeReTSs(16): ! evet 
18:21:22 | [CMD] Gezegen(9) => /cevir
18:21:23 | [SirketCHT] DangerTr07(14): ! þu evotürkü 
18:21:23 | [CMD] BeylerBeyi(21) => /d :D
18:21:23 | [CMD] TEXAST5(17) => /a A:WDa 
18:21:23 | [CMD] HeRquL(0) => /d  bu remix
18:21:24 | [CMD] Gezegen(9) => /tamir
18:21:25 | [CMD] HeRquL(0) => /d  bu remix
18:21:26 | [CMD] Konyali42(20) => /d dövelim ozaman
18:21:28 | [CMD] TEXAST5(17) => /A adamý trenden attým 
18:21:29 | Freezer3543(23): :D
18:21:30 | [SirketCHT] Moskova_Kurdu(10): ! satma satma ora bizim
18:21:30 | {FFCC00}Freezer3543(23) {FFFFFF}Pilot olarak spawn oldu.
18:21:32 | [SirketCHT] Aftosh_Qaqash(6): !nie sana kanka diyor 
18:21:33 | [SirketCHT] Hz.EvoturK(15): ! evotürk deðil
18:21:33 | [CMD] Gezegen(9) => /modifiye
18:21:34 | [CMD] Moskova_Kurdu(10) => /fly
18:21:35 | [CMD] HeRquL(0) => /d la remix bu farklý
18:21:35 | [SirketCHT] Hz.EvoturK(15): ! hazreti evoturk
18:21:38 | [SirketCHT] [TR]MaroNBeReTSs(16): ! hüseyinin evi nerede orada 
18:21:40 | [SirketCHT] [TR]MaroNBeReTSs(16): ! silmiþmi napmýþ 
18:21:41 | [CMD] DarkFlow(7) => /araba
18:21:43 | [CMD] BeylerBeyi(21) => /pm 16 valla þuanlýk 80m civarý param var
18:21:44 | [CMD] sezzer(18) => /work
18:21:44 | [SirketCHT] Moskova_Kurdu(10): ! silmiþ 
18:21:47 | BeylerBeyi(21): can res
18:21:47 | [SirketCHT] Aftosh_Qaqash(6): !terbiyesiz
18:21:48 | [CMD] Konyali42(20) => /pm 18 knk sarkinin ismi neydi la :D
18:21:49 | [SirketCHT] [TR]MaroNBeReTSs(16): ! 80m verdi .d 
18:21:49 | [CMD] H.R.N.(11) => /goto 10
18:21:50 | [CMD] Hz.EvoturK(15) => /gobus
18:21:54 | [CMD] TEXAST5(17) => /cantazele 
18:21:55 | [CMD] HeRquL(0) => /a sil ismine (remix) ekle o zmaan 
18:21:56 | [CMD] TEXAST5(17) => /slap 15 
18:21:57 | [CMD] Hz.EvoturK(15) => /icerigir
18:21:59 | [CMD] HeRquL(0) => /d sil ismine (remix) ekle o zmaan 
18:22:0 | [CMD] sezzer(18) => /pm 20 bindik bi alamaete yaz çýkýyo
18:22:0 | BeylerBeyi(21): thanks
18:22:1 | [CMD] TEXAST5(17) => /spec 15 
18:22:3 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 350M yap satayým .d 
18:22:4 | [CMD] BeylerBeyi(21) => /d :D
18:22:6 | Hz.EvoturK(15): hangi AMdin trollüyor
18:22:8 | [CMD] Konyali42(20) => /pm 18 ha tmm aklima gelmedi :D
18:22:10 | [CMD] TEXAST5(17) => /specoff 
18:22:10 | TEXAST5(17) Pizzaci olarak spawn oldu.
18:22:10 | [SirketCHT] Hz.EvoturK(15): ! hayýrdýr krdþm
18:22:11 | [SirketCHT] Aftosh_Qaqash(6): !danger zaten diger dunyada cennetten kovulmus simdiden
18:22:11 | [CMD] H.R.N.(11) => /goto 15
18:22:15 | [SirketCHT] Aftosh_Qaqash(6): !isme bak :D
18:22:15 | TEXAST5(17): ben görevdeyim 
18:22:15 | [CMD] Moskova_Kurdu(10) => /a Ban? 
18:22:15 | [CMD] BeylerBeyi(21) => /pm 16 anladým beni yapmaya niyetlisin .D
18:22:17 | [CMD] TEXAST5(17) => /work 
18:22:18 | [CMD] HeRquL(0) => /uyar 15 üslup
18:22:19 | Hz.EvoturK(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
18:22:19 | [SirketCHT] [TR]MaroNBeReTSs(16): ! bana bi ev daha lazým 
18:22:24 | [CMD] sezzer(18) => /work
18:22:28 | [CMD] Moskova_Kurdu(10) => /Dorseget 440
18:22:33 | [CMD] HeRquL(0) => /work
18:22:35 | [CMD] Moskova_Kurdu(10) => /a Banlýyorum ben bunu 
18:22:35 | [SirketCHT] [TR]MaroNBeReTSs(16): ! onuda gidek LS den alalým LV de 2 dene var 
18:22:38 | [SirketCHT] sezzer(18): ! ya boþ yapma bitli moskova
18:22:39 | [CMD] Moskova_Kurdu(10) => /a AMdin yazdý 
18:22:47 | [CMD] HeRquL(0) => /a sik at þu aq malýný :D
18:22:47 | [CMD] [TR]MaroNBeReTSs(16) => /kemer
18:22:49 | [LOCAL]Gezegen(9): geç geç
18:22:49 | [CMD] Gezegen(9) => /l geç geç
18:22:52 | Aftosh_Qaqash(6): burda kara renkde dorse var
18:22:54 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:22:55 | [CMD] sezzer(18) => /work
18:22:55 | Aftosh_Qaqash(6): kim burakti buraya
18:22:56 | Hz.EvoturK(13) oyuna girdi [IP: 88.241.70.200]
18:22:57 | Necdet03(22): gizli kasa
18:23:0 | Aftosh_Qaqash(6): tamam :D
18:23:1 | [CMD] BeylerBeyi(21) => /pm 16 hadi aga biþe yap aliyim orayý
18:23:2 | [CMD] BeylerBeyi(21) => /araba
18:23:6 | 
18:23:7 | Moskova_Kurdu(10): Ban atasým geldi 
18:23:8 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 satmüyüm orayý 
18:23:9 | {FFCC00}Freezer3543(23) {FFFFFF}Pilot olarak spawn oldu.
18:23:9 | [CMD] DarkFlow(7) => /srespawncars
18:23:10 | {FFCC00}Hz.EvoturK(13) Otobus Soforu olarak spawn oldu.
18:23:11 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 moskovaya sor 
18:23:11 | Hz.EvoturK(13): ?
18:23:12 | [CMD] Freezer3543(23) => /rescue
18:23:12 | Aftosh_Qaqash(6): kime
18:23:14 | [CMD] [TR]MaroNBeReTSs(16) => /pm 21 o satýyordu sanýrsam 
18:23:15 | [CMD] Hz.EvoturK(13) => /rescue
18:23:16 | [CMD] BeylerBeyi(21) => /d moskovaa
18:23:17 | Aftosh_Qaqash(6): kimew
18:23:17 | [CMD] Konyali42(20) => /asay Istek Sarkiniz Çaliniyor. Iyi Oyunlar Dileriz...     
18:23:18 | [CMD] sezzer(18) => /sac
18:23:19 | Moskova_Kurdu(10): kendime
18:23:19 | [CMD] BeylerBeyi(21) => /vtamir
18:23:21 | [CMD] BeylerBeyi(21) => /tamir
18:23:21 | [CMD] Aftosh_Qaqash(6) => /sarkiac
18:23:21 | [CMD] HeRquL(0) => /d la niye kapadýn
18:23:21 | Freezer3543(23): :D
18:23:22 | Hz.EvoturK(13): at bana moskova
18:23:23 | [CMD] Necdet03(22) => /work
18:23:25 | Aftosh_Qaqash(6): at at at :D
18:23:25 | sezzer(18): aha beyler günlük doz için /sac yapýn
18:23:27 | sezzer(18): aha beyler günlük doz için /sac yapýn
18:23:28 | [CMD] Hz.EvoturK(13) => /sac
18:23:29 | [CMD] sezzer(18) => /work
18:23:30 | [CMD] Aftosh_Qaqash(6) => /soc
18:23:31 | [CMD] Freezer3543(23) => /sac
18:23:32 | [CMD] Aftosh_Qaqash(6) => /sac
18:23:32 | [CMD] Hz.EvoturK(13) => /skapat
18:23:34 | [CMD] DarkFlow(7) => /araba
18:23:35 | [CMD] HeRquL(0) => /d þarký bitmedi yenisi ni niye açtýnn
18:23:37 | [CMD] H.R.N.(11) => /asay Ameneyyn
18:23:37 | [CMD] Konyali42(20) => /d neyi
18:23:37 | [CMD] Hz.EvoturK(13) => /skapat
18:23:39 | Freezer3543(23): s/kapat
18:23:40 | Gezegen(9): araç ress
18:23:41 | [CMD] Konyali42(20) => /d bitti la
18:23:42 | [CMD] Gezegen(9) => /rescue
18:23:43 | [KAMYONCU] Konyali42, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 265426$, 1 Skor ve 5 EXP Sure: 558 Saniye
18:23:46 | [CMD] HeRquL(0) => /d nasýl yav
18:23:49 | [CMD] [TR]MaroNBeReTSs(16) => /sac
18:23:52 | [CMD] Gezegen(9) => /modifiye
18:23:52 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:23:53 | [SirketCHT] Hz.EvoturK(13): ! az önce bana uyarý atan kimdi yaw
18:23:55 | [CMD] Konyali42(20) => /d sen sonradan sac yaptisan...
18:23:56 | [CMD] Freezer3543(23) => /skapat
18:23:58 | [CMD] sezzer(18) => /work
18:23:58 | [CMD] HeRquL(0) => /work
18:23:59 | TEXAST5(17): araç res geliyor 
18:24:1 | [CMD] TEXAST5(17) => /admins 
18:24:3 | [CMD] BeylerBeyi(21) => /pm 10 moskova
18:24:3 | [CMD] H.R.N.(11) => /asay /sc /skapat
18:24:4 | [CMD] Aftosh_Qaqash(6) => /sac
18:24:7 | [CMD] Moskova_Kurdu(10) => /pm 21 he 
18:24:7 | [CMD] H.R.N.(11) => /asay /sac /skapat
18:24:7 | [CMD] TEXAST5(17) => /A olm bi res atýn la :S 
18:24:9 | [CMD] Aftosh_Qaqash(6) => /sacw
18:24:10 | [CMD] HeRquL(0) => /d sonradan açmadým
18:24:10 | [CMD] BeylerBeyi(21) => /pm 10 lv deki evini satýyonmu aga
18:24:10 | [SirketCHT] [TR]MaroNBeReTSs(16): ! moski 
18:24:11 | [CMD] Konyali42(20) => /sirket
18:24:13 | Aftosh_Qaqash(6): acilmiyor
18:24:14 | [CMD] TEXAST5(17) => /respawncars 
18:24:17 | [CMD] TEXAST5(17) => /cantazele 
18:24:17 | [CMD] HeRquL(0) => /worj
18:24:18 | [CMD] Moskova_Kurdu(10) => /ban
18:24:20 | [CMD] HeRquL(0) => /work
18:24:21 | Aftosh_Qaqash(6): amanaeyy duymuyorum
18:24:25 | [CMD] BeylerBeyi(21) => /pm 10 tekno yu
18:24:25 | Aftosh_Qaqash(6): off
18:24:29 | Aftosh_Qaqash(6): yoruldum
18:24:29 | [CMD] Konyali42(20) => /d bende bitti aga :D
18:24:33 | [CMD] Konyali42(20) => /meslek
18:24:34 | [CMD] H.R.N.(11) => /gc Ameneyyn
18:24:35 | [BAN] Moskova_Kurdu(10) Hz.EvoturK(13)'i 2 gün 0 saat banladý. Sebep: Admine Saygýsýzlýk
18:24:35 | [CMD] Moskova_Kurdu(10) => /ban 13 2 0 Admine Saygýsýzlýk
18:24:35 | Hz.EvoturK(13) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
18:24:38 | Axefi(12): gezegen benden baþka adam yokmu
18:24:38 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:24:39 | Konyali42(20) Pizzaci olarak spawn oldu.
18:24:39 | [CMD] sezzer(18) => /work
18:24:40 | [CMD] HeRquL(0) => /d alt tab yaptým lag oldu heralde
18:24:41 | Gezegen(9): yok
18:24:42 | [CMD] Konyali42(20) => /rescue
18:24:42 | Axefi(12): git baþýmdan artýk
18:24:45 | [CMD] DangerTr07(14) => /Ban
18:24:45 | Aftosh_Qaqash(6): aha :D
18:24:50 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:24:51 | Gezegen(9): yýldýzýn var kardeþim gorev yapýyoruz
18:24:51 | HeRquL(0): çarpýldý
18:24:53 | [CMD] Konyali42(20) => /d olabilir
18:24:54 | [CMD] DangerTr07(14) => /A oyunda yok len 
18:24:56 | [CMD] [TR]MaroNBeReTSs(16) => /tamir
18:24:57 | Aftosh_Qaqash(6): ssdas:D
18:25:0 | [CMD] Moskova_Kurdu(10) => /a Chati yukarý kaydýr
18:25:2 | Axefi(12): durdurup durma hýzlý ol ozaman
18:25:2 | Aftosh_Qaqash(6): asda:D
18:25:2 | [CMD] Konyali42(20) => /wrk
18:25:4 | [CMD] Konyali42(20) => /work
18:25:7 | Freezer3543(23): Yoklugumda kimse mafya degil la :(
18:25:10 | [CMD] BeylerBeyi(21) => /pm 10 he satýyonmu
18:25:12 | [CMD] DangerTr07(14) => /A xD
18:25:13 | Gezegen(9): ceza kesicemya hani durudrmam lazým :D
18:25:14 | [CMD] Moskova_Kurdu(10) => /pm BeylerBeyi sattým þuan geldi mi .d
18:25:14 | Aftosh_Qaqash(6): herqul cek beni yanina
18:25:18 | sezzer(18): artýk level kasma olayý pizzacý mesleðiyle sf de yapýlcak
18:25:19 | [CMD] sezzer(18) => /work
18:25:20 | Aftosh_Qaqash(6): herqul cek beni yanina
18:25:21 | Grejuva(13) oyuna girdi [IP: 85.98.242.70]
18:25:21 | [CMD] DangerTr07(14) => /A qnq evim silinmiþ :#
18:25:22 | [CMD] HeRquL(0) => /work
18:25:22 | CluTHeS(15) oyuna girdi [IP: 78.190.150.144]
18:25:24 | [SirketCHT] Moskova_Kurdu(10): ! he 
18:25:26 | [CMD] BeylerBeyi(21) => /pm 10 yoksatmadýn
18:25:31 | [CMD] H.R.N.(11) => /gc leaaynn
18:25:31 | DarkFlow(7): mafya 3.5 k oldu
18:25:32 | [CMD] sezzer(18) => /work
18:25:34 | [SirketCHT] [TR]MaroNBeReTSs(16): ! diyeceðimi unuttum 
18:25:35 | [CMD] sezzer(18) => /work
18:25:35 | [CMD] DangerTr07(14) => /A ss var ama :D
18:25:37 | [CMD] BeylerBeyi(21) => /pm 10 lv deki evin ha
18:25:39 | [SirketCHT] Moskova_Kurdu(10): ! adam banladýk .d 
18:25:43 | [CMD] Gezegen(9) => /meslek
18:25:43 | [CMD] H.R.N.(11) => /meslek
18:25:43 | [ANTIHACK] Þüpheli DangerTr07(14) => Airbreak-hack
18:25:44 | 
18:25:45 | {FFCC00}Gezegen(9) {FFFFFF}Kamyoncu olarak spawn oldu.
18:25:47 | [CMD] [TR]MaroNBeReTSs(16) => /meslek
18:25:48 | [CMD] Moskova_Kurdu(10) => /d Satmüyrüm 
18:25:48 | [CMD] H.R.N.(11) => /rescue
18:25:50 | [CMD] BeylerBeyi(21) => /pm 10 sende benle daþþak geçiyon .D
18:25:53 | [CMD] BeylerBeyi(21) => /d :D
18:25:55 | [CMD] Moskova_Kurdu(10) => /d :D 
18:25:55 | {FFCC00}CluTHeS(15) {FFFFFF}Kamyoncu olarak spawn oldu.
18:25:56 | [CMD] HeRquL(0) => /a AMdin ve trollüyor dedi diye mi banlandý
18:25:56 | [TR]MaroNBeReTSs(16) Mafya olarak spawn oldu.
18:26:0 | [CMD] H.R.N.(11) => /modifiye
18:26:2 | [CMD] [TR]MaroNBeReTSs(16) => /araba
18:26:3 | [CMD] BeylerBeyi(21) => /d sat be
18:26:5 | [CMD] sezzer(18) => /work
18:26:6 | [CMD] Moskova_Kurdu(10) => /a + hýyar danger 
18:26:7 | [CMD] Axefi(12) => /cevir
18:26:10 | [CMD] H.R.N.(11) => /work
18:26:10 | [CMD] HeRquL(0) => /a bende ss ler var
18:26:11 | {FFCC00}Grejuva(13) {FFFFFF}Kamyoncu olarak spawn oldu.
18:26:12 | [CMD] CluTHeS(15) => /kemer
18:26:12 | [CMD] DangerTr07(14) => /a :( 
18:26:16 | [CMD] Moskova_Kurdu(10) => /a tmm amdin grupta var iþte
18:26:16 | [CMD] Konyali42(20) => /gobus
