0:0:1 | [CMD] Madness(31) => /tamir
17:26:47 | [CMD] gorkemu24(20) => /goreviptal
17:26:47 | emirhanertem(9): s
17:26:47 | [CMD] gorkemu24(20) => /work
17:26:49 | [CMD] Moskova_Kurdu(7) => /r Kim soruyo
17:26:49 | [CMD] gorkemu24(20) => /goreviptal
17:26:50 | [CMD] gorkemu24(20) => /work
17:26:51 | [CMD] [eN]Overlord(6) => /pm 25 tamam
17:26:53 | [CMD] Moskova_Kurdu(7) => /r Ek mapte felan deðil
17:26:53 | [CMD] gorkemu24(20) => /goreviptal
17:26:53 | [CMD] H.R.N.(25) => /r aga geldim de adam yok diyor
17:26:54 | [CMD] gorkemu24(20) => /work
17:26:54 | sezzer(13): ne lag bee
17:26:56 | [CMD] gorkemu24(20) => /goreviptal
17:26:57 | [CMD] gorkemu24(20) => /work
17:26:58 | [CMD] Hic(10) => /r id 9 
17:26:58 | [CMD] Moskova_Kurdu(7) => /r Haritadan baksýn
17:26:59 | [CMD] emirhanertem(9) => /isteksarki kime bu inat 9
17:26:59 | [CMD] gorkemu24(20) => /goreviptal
17:27:0 | [CMD] gorkemu24(20) => /work
17:27:1 | H.R.N.(25): emir burda deðilmi
17:27:4 | [CMD] gorkemu24(20) => /goreviptal
17:27:6 | [CMD] gorkemu24(20) => /work
17:27:6 | emirhanertem(9): yok
17:27:8 | [CMD] gorkemu24(20) => /goreviptal
17:27:8 | [CMD] gorkemu24(20) => /work
17:27:9 | emirhanertem(9): 4490 m var
17:27:15 | Hic(10): @9 Nereye gidiceksin ?s
17:27:16 | H.R.N.(25): haritadan bakýp üstüne gelsene mahallae adý ne
17:27:16 | [CMD] Moskova_Kurdu(7) => /ogorev 9
17:27:28 | [CMD] Hic(10) => /goto 25
17:27:28 | [CMD] oktayacar(21) => /araba
17:27:29 | Moskova_Kurdu(7): emirhan
17:27:31 | [CMD] nik0tin(11) => /work 
17:27:32 | [CMD] [eN]Overlord(6) => /sorusor Düzce Yolu Nerede
17:27:34 | Moskova_Kurdu(7): Konya ya gittin mi sen
17:27:35 | [CMD] Hic(10) => /sorular
17:27:36 | [CMD] H.R.N.(25) => /sorular
17:27:37 | [CMD] [eN]Overlord(6) => /rescue
17:27:38 | [CMD] Hic(10) => /goto 6
17:27:41 | [CMD] H.R.N.(25) => /sorukabul 6
17:27:44 | [CMD] H.R.N.(25) => /ypm ?
17:27:48 | Hic(10): Düzcemi ?
17:27:55 | [CMD] [eN]Overlord(6) => /ypm Düzce yolu sorcaktým hic geldi
17:27:57 | [LOCAL][eN]Overlord(6): evet
17:27:57 | [CMD] [eN]Overlord(6) => /l evet
17:27:59 | emirhanertem(9): gozukuyor ki
17:28:5 | sezzer(13): niko 60 oldun mu
17:28:6 | emirhanertem(9): konya?
17:28:6 | {FFCC00}turgut06(12) Otobus Soforu olarak spawn oldu.
17:28:7 | Hic(10): Peki götüreyim Düzce'ye
17:28:16 | [LOCAL][eN]Overlord(6): giriþinde býrakýr mýsýnýz
17:28:16 | [CMD] [eN]Overlord(6) => /L giriþinde býrakýr mýsýnýz
17:28:18 | Moskova_Kurdu(7): Konya ya gitmedin yani?
17:28:19 | H.R.N.(25): yani tarif et harita ortasýndamý yoksa sað sol üst filanmý
17:28:19 | [CMD] turgut06(12) => /pm 7 þirkete alýr mýsýn 
17:28:20 | Hic(10): Peki
17:28:22 | emirhanertem(9): yok
17:28:24 | iYasinBey(15) oyuna girdi [IP: 85.99.209.203]
17:28:25 | [CMD] Moskova_Kurdu(7) => /pm 12 Tabiki
17:28:27 | [CMD] turgut06(12) => /pm 7 týrcý olarak 
17:28:27 | [CMD] Moskova_Kurdu(7) => /uyeal 12
17:28:28 | [LOCAL][eN]Overlord(6): saðolun
17:28:28 | [CMD] [eN]Overlord(6) => /L saðolun
17:28:32 | [CMD] turgut06(12) => /pm 7 saðol abi 
17:28:34 | Moskova_Kurdu(7): HRN
17:28:35 | 
17:28:38 | {FFCC00}iYasinBey(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:28:40 | Hic(10): Görevimiz...
17:28:42 | Moskova_Kurdu(7): @9 u Konya ya
17:28:42 | [CMD] turgut06(12) => /meslek
17:28:44 | [CMD] H.R.N.(25) => /r avery buraydý yav
17:28:44 | [CMD] nik0tin(11) => /work 
17:28:44 | [CMD] [eN]Overlord(6) => /ypm g
17:28:47 | emirhanertem(9): o sezer kardesim gelmis hosgelin kardesim
17:28:50 | [CMD] [eN]Overlord(6) => /ypm kapatabilirsin
17:28:55 | [CMD] H.R.N.(25) => /r avery dedi bana
17:28:57 | [CMD] H.R.N.(25) => /ybitir
17:28:58 | [CMD] Sahildeniz(16) => /tamie
17:29:2 | H.R.N.(25): oknyamý emir
17:29:2 | [CMD] Moskova_Kurdu(7) => /r Yanlýþ biliyomuþ
17:29:3 | [CMD] Berkay08(26) => /asay istek þarký için /isteksarki >id> yazýp bizlere iletebilirsiniz...
17:29:3 | [CMD] Berkay08(26) => /asay istek þarkýnýz çalýnýyor.iyi oyunlar dileriz...
17:29:6 | [CMD] Sahildeniz(16) => /tami
17:29:7 | H.R.N.(25): konyamý emir
17:29:8 | [CMD] Sahildeniz(16) => /tamir
17:29:8 | [CMD] turgut06(12) => /skapat
17:29:10 | emirhanertem(9): haritada gelmiyor
17:29:11 | [CMD] nik0tin(11) => /ogorev 9 
17:29:14 | emirhanertem(9): gostermiyor
17:29:20 | [CMD] turgut06(12) => /work
17:29:21 | Moskova_Kurdu(7): Sað aþaðýda mý
17:29:21 | H.R.N.(25): tm takip et
17:29:23 | [CMD] turgut06(12) => /goreviptal
17:29:24 | [CMD] turgut06(12) => /work
17:29:26 | [CMD] turgut06(12) => /goreviptal
17:29:26 | emirhanertem(9): oradan
17:29:26 | [CMD] turgut06(12) => /work
17:29:26 | [CMD] nik0tin(11) => /r avery construction 
17:29:27 | [CMD] Sahildeniz(16) => /tamir
17:29:28 | emirhanertem(9): konyadan
17:29:32 | emirhanertem(9): avery constoya
17:29:33 | [CMD] turgut06(12) => /kemer
17:29:34 | [CMD] Sahildeniz(16) => /work
17:29:36 | [CMD] KorkusuzKorkak(22) => /mytime 12
17:29:39 | [CMD] H.R.N.(25) => /r ora dedi yok diyo konya dedi moskov
17:29:40 | [CMD] nik0tin(11) => /r konyadan 
17:29:41 | [CMD] Konyali42(24) => /tamir
17:29:42 | [CMD] Hic(10) => /tamir
17:29:47 | [CMD] Berkay08(26) => /meslek
17:29:50 | [CMD] nik0tin(11) => /r /ogorev 
17:29:51 | emirhanertem(9): gel beni
17:29:51 | [CMD] H.R.N.(25) => /r yav tm götürüyom
17:29:53 | emirhanertem(9): takip et
17:29:56 | H.R.N.(25): emir gel
17:29:56 | iYasinBey(15) oyundan cIktI (Hata/Crash) (IP: 85.99.209.203)
17:29:58 | [CMD] Moskova_Kurdu(7) => /r mal bu aq 
17:30:3 | emirhanertem(9): arkada
17:30:6 | [CMD] H.R.N.(25) => /r :S:DSA
17:30:6 | emirhanertem(9): kýrmýzý
17:30:11 | [CMD] KorkusuzKorkak(22) => /isteksarki 868
17:30:14 | [CMD] Hic(10) => /r q:'we
17:30:15 | {FFCC00}Berkay08(26) {FFFFFF}Kamyoncu olarak spawn oldu.
17:30:16 | [CMD] Berkay08(26) => /asay istek þarkýnýz sýraya alýnmýþtýr...
17:30:20 | [CMD] gorkemu24(20) => /work
17:30:23 | [CMD] nik0tin(11) => /work 
17:30:24 | [CMD] Hic(10) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz... 
17:30:24 | H.R.N.(25): emir býrakacan yeri söylemiþin bana sen
17:30:38 | H.R.N.(25): alamya gidiyoz þimdi gel
17:30:43 | emirhanertem(9): owww
17:30:45 | [CMD] Konyali42(24) => /work
17:30:48 | emirhanertem(9): bilmiyom aga oyunu daha
17:30:50 | KorkusuzKorkak(22): t
17:30:52 | [CMD] nik0tin(11) => /r harun içinden iyi kayýþlýyor :D 
17:30:54 | [eN]Overlord(6): asas
17:30:57 | [CMD] H.R.N.(25) => /r :D
17:30:58 | [CMD] Hic(10) => /tamir
17:30:58 | [CMD] Moskova_Kurdu(7) => /asiriyuk
17:30:58 | emirhanertem(9): kusura bakma
17:30:59 | [CMD] Konyali42(24) => /asiriyuk
17:30:59 | KorkusuzKorkak(22) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:31:3 | H.R.N.(25): ö.d :)
17:31:12 | [eN]Overlord(6): mutant lag peþimi býrak
17:31:13 | iYasinBey(14) oyuna girdi [IP: 85.99.209.203]
17:31:14 | [CMD] oktayacar(21) => /araba
17:31:16 | [CMD] sezzer(13) => /asiriyuk
17:31:17 | [CMD] gorkemu24(20) => /tamir
17:31:18 | [CMD] sezzer(13) => /asiriyuk
17:31:20 | [CMD] Berkay08(26) => /dtemizle
17:31:23 | 
17:31:25 | oktayacar(21): AS
17:31:26 | {FFCC00}iYasinBey(14) {FFFFFF}Kamyoncu olarak spawn oldu.
17:31:28 | oktayacar(21) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:31:34 | Hic(10): caps kapa Oktay
17:31:39 | sezzer(13): abi 2 dk müzik açtýk bu ne lag yaa
17:31:42 | [CMD] nik0tin(11) => /work 
17:31:44 | H.R.N.(25): emir biraz yavaþ 
17:31:47 | emirhanertem(9): oyunu kapatýp yeniden accam
17:31:48 | Hic(10): Bende yoq lag :)
17:31:49 | [CMD] nik0tin(11) => /sac 
17:31:52 | emirhanertem(9): bosver 5000 odemem
17:31:57 | [LOCAL]ozantr12345(23): sa
17:31:57 | [CMD] ozantr12345(23) => /l sa
17:31:59 | emirhanertem(9): baska yuk alip geliyorum
17:32:1 | H.R.N.(25): :D
17:32:4 | [LOCAL]gorkemu24(20): as
17:32:4 | [CMD] gorkemu24(20) => /l as
17:32:7 | emirhanertem(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:32:7 | [CMD] Sahildeniz(16) => /tamir
17:32:11 | Hic(10): Düzce burasý.
17:32:11 | [LOCAL]ozantr12345(23): 1dk
17:32:11 | [CMD] ozantr12345(23) => /l 1dk
17:32:14 | [LOCAL][eN]Overlord(6): Teþekkürler
17:32:14 | [CMD] [eN]Overlord(6) => /L Teþekkürler
17:32:18 | [CMD] [eN]Overlord(6) => /araba
17:32:18 | Hic(10): Ýyi Oyunlar...
17:32:19 | [CMD] Sahildeniz(16) => /work
17:32:21 | @Ali(15) oyuna girdi [IP: 88.254.95.145]
17:32:21 | [CMD] H.R.N.(25) => /r akýllýsý beni bulmaz, delisi götümden ayrýlmaz D:
17:32:26 | [CMD] Hic(10) => /r :D
17:32:27 | [CMD] Moskova_Kurdu(7) => /aka 15
17:32:28 | emirhanertem(18) oyuna girdi [IP: 85.104.192.87]
17:32:36 | [LOCAL][eN]Overlord(6): aw
17:32:36 | [CMD] [eN]Overlord(6) => /l aw
17:32:38 | [eN]Overlord(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:32:39 | [CMD] nik0tin(11) => /atamir 
17:32:40 | Sahildeniz(16): paramzý bankaya veremezmiyix,
17:32:40 | [CMD] Hic(10) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ? 
17:32:43 | {FFCC00}@Ali(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:32:44 | 
17:32:47 | {FFCC00}emirhanertem(18) {FFFFFF}Kamyoncu olarak spawn oldu.
17:32:48 | nik0tin(11): Y bas banka var 
17:32:49 | emirhanertem(18): geldm
17:32:50 | @Ali(15): sa
17:32:55 | turgut06(12): as
17:32:56 | [CMD] nik0tin(11) => /aka 15 
17:32:57 | [CMD] Hic(10) => /as
17:32:58 | Hic(10):  /sa /as
17:32:58 | gorkemu24(20): as
17:32:59 | emirhanertem(18): sa
17:32:59 | H.R.N.(25):  @16 y bas banka var oraya yatýr hesap açýp
17:33:2 | (BANKA) Sahildeniz(16) 2188 nolu banka hesabi olusturdu.
17:33:4 | @Ali(15): tabý nasil büyütüyorduk
17:33:4 | [CMD] turgut06(12) => /as
17:33:6 | [CMD] nik0tin(11) => /work 
17:33:12 | iYasinBey(14): hayda durduk yere oyun donuyor
17:33:17 | Hic(10):  /fontzi
17:33:20 | Hic(10):  /fontsize
17:33:25 | [CMD] sezzer(13) => /c beyler
17:33:25 | [CMD] Berkay08(26) => /asay istek þarkýnýz çalýnýyor.iyi oyunlar dileriz...
17:33:25 | (BANKA) Sahildeniz(16) 2188 nolu banka hesabina 1$ yatirdi.
17:33:26 | [CMD] gorkemu24(20) => /work
17:33:28 | onurnowking232316(17) oyundan cIktI (Hata/Crash) (IP: 94.54.125.24)
17:33:29 | [CMD] turgut06(12) => /sac
17:33:30 | [CMD] Konyali42(24) => /c ne oldu#
17:33:31 | (BANKA) Sahildeniz(16) 2188 nolu banka hesabina 1500000$ yatirdi.
17:33:33 | [CMD] emirhanertem(18) => /sac
17:33:34 | [CMD] turgut06(12) => /sac
17:33:35 | [CMD] sezzer(13) => /c yol yüklenmiyo relog atmak zorundayým
17:33:38 | [CMD] Konyali42(24) => /c tmm
17:33:42 | [CMD] H.R.N.(25) => /asay Yardým Ýsteyen? Yol Bulamayan?
17:33:44 | [CMD] nik0tin(11) => /isteksarki 1478 
17:33:47 | [CMD] Berkay08(26) => /asay istek þarkýnýz sýraya alýnmýþtýr...
17:33:52 | [CMD] emirhanertem(18) => /sirketdorse
17:33:53 | @Ali(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:33:53 | [CMD] nik0tin(11) => /d adnan yaz 
17:33:58 | sezzer(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:33:58 | [CMD] Berkay08(26) => /d tm
17:33:58 | oktayacar(6) oyuna girdi [IP: 94.120.48.150]
17:34:1 | [CMD] H.R.N.(25) => /afk
17:34:6 | [CMD] H.R.N.(25) => /karakol
17:34:7 | [CMD] Hic(10) => /goto 23
17:34:10 | [CMD] H.R.N.(25) => /cezaode
17:34:17 | [CMD] emirhanertem(18) => /modifiye
17:34:17 | [CMD] H.R.N.(25) => /afk
17:34:18 | [CMD] Moskova_Kurdu(7) => /a Yuhum geldi
17:34:22 | [OTOBUSCU] turgut06, San Fierro Otogar'den Emkatu Otogar'e Yolcu tasidi. Kazanc: 15616$ ve 3 Skor Sure: 255 Saniye
17:34:23 | [CMD] nik0tin(11) => /d nasýl gidiyor djlik 
17:34:24 | 
17:34:26 | {FFCC00}oktayacar(6) {FFFFFF}Pilot olarak spawn oldu.
17:34:28 | [CMD] emirhanertem(18) => /afk
17:34:28 | [CMD] Moskova_Kurdu(7) => /a Yarýn sýnav var
17:34:29 | [CMD] turgut06(12) => /work
17:34:29 | [CMD] emirhanertem(18) => /geldim
17:34:30 | [eN]Overlord(9) oyuna girdi [IP: 78.180.153.68]
17:34:30 | [CMD] Moskova_Kurdu(7) => /a Giricek 
17:34:31 | [CMD] turgut06(12) => /goreviptal
17:34:32 | [CMD] nik0tin(11) => /work 
17:34:32 | [CMD] turgut06(12) => /work
17:34:33 | [CMD] Berkay08(26) => /d iyi bi sýkýntý yok
17:34:33 | [CMD] emirhanertem(18) => /work
17:34:34 | [CMD] turgut06(12) => /goreviptal
17:34:34 | [CMD] turgut06(12) => /work
17:34:35 | [CMD] turgut06(12) => /goreviptal
17:34:36 | [CMD] turgut06(12) => /work
17:34:36 | Hic(10): gorkem gel kargo
17:34:37 | [CMD] turgut06(12) => /goreviptal
17:34:38 | [CMD] turgut06(12) => /work
17:34:39 | [CMD] turgut06(12) => /goreviptal
17:34:39 | [CMD] Hic(10) => /goto 20
17:34:40 | [ANTIHACK] Þüpheli Hic(10) => Airbreak-hack
17:34:40 | [CMD] turgut06(12) => /work
17:34:40 | 
17:34:41 | [CMD] turgut06(12) => /goreviptal
17:34:41 | [CMD] iYasinBey(14) => /rescue
17:34:42 | [CMD] turgut06(12) => /work
17:34:43 | [CMD] nik0tin(11) => /a ne sýnavý 
17:34:44 | [LOCAL]turgut06(12): .  
17:34:44 | [CMD] turgut06(12) => /l .  
17:34:45 | [LOCAL]turgut06(12): .  
17:34:45 | [CMD] turgut06(12) => /l .  
17:34:45 | [CMD] Hic(10) => /tamir
17:34:45 | [LOCAL]turgut06(12): .  
17:34:45 | [CMD] turgut06(12) => /l .  
17:34:46 | {FFCC00}[eN]Overlord(9) {FFFFFF}Kamyoncu olarak spawn oldu.
17:34:46 | [LOCAL]turgut06(12): .  
17:34:46 | [CMD] turgut06(12) => /l .  
17:34:48 | [CMD] turgut06(12) => /goreviptal
17:34:52 | [LOCAL]gorkemu24(20): ozaný 6000 yapým gel
17:34:52 | [CMD] gorkemu24(20) => /l ozaný 6000 yapým gel
17:34:52 | [CMD] Berkay08(26) => /d senin nasýl adminlik
17:34:53 | @Ali(13) oyuna girdi [IP: 88.254.95.145]
17:34:53 | [CMD] turgut06(12) => /work
17:34:54 | Hic(10): Ben bekliyom sf kargoda görekm
17:34:57 | Hic(10): görkem*
17:34:59 | [CMD] Moskova_Kurdu(7) => /a Türkçe, Hayat Bilgisi 
17:34:59 | [CMD] nik0tin(11) => /d senden baþka kim vardý 
17:35:0 | 
17:35:2 | [CMD] Hic(10) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz... 
17:35:3 | {FFCC00}@Ali(13) {FFFFFF}Kamyoncu olarak spawn oldu.
17:35:5 | [CMD] [eN]Overlord(9) => /rescue
17:35:5 | [CMD] Hic(10) => /asay /rescue Komutu ile mesleðinin spawn noktalarýna ulaþabilirsin...  
17:35:7 | [LOCAL]turgut06(12): lag test
17:35:7 | [CMD] turgut06(12) => /l lag test
17:35:8 | [CMD] oktayacar(6) => /rescue
17:35:9 | [CMD] Berkay08(26) => /d tunlord
17:35:11 | [CMD] Moskova_Kurdu(7) => /a :D 
17:35:11 | [LOCAL]turgut06(12): lag
17:35:11 | [CMD] turgut06(12) => /l lag
17:35:17 | [LOCAL]turgut06(12): lag yok
17:35:17 | [CMD] turgut06(12) => /l lag yok
17:35:18 | [CMD] Moskova_Kurdu(7) => /Atamir
17:35:22 | [CMD] nik0tin(11) => /a 3 e mi gidiyon 
17:35:22 | @Ali(13): admin kardes bu skor tablosunu nasul büyütcez
17:35:22 | sezzer(15) oyuna girdi [IP: 88.238.167.67]
17:35:28 | [CMD] @Ali(13) => /kemer
17:35:29 | [CMD] turgut06(12) => /fontsie
17:35:29 | [CMD] Berkay08(26) => /d çakýr34 ama çakýrla baðlantý yok
17:35:29 | [CMD] Moskova_Kurdu(7) => /a Yok 4 e geçtim 
17:35:30 | [CMD] [eN]Overlord(9) => /araba
17:35:31 | nik0tin(11): tab mý 
17:35:33 | @Ali(13): evet
17:35:35 | [CMD] @Ali(13) => /kurallar
17:35:35 | 
17:35:40 | [CMD] Hic(10) => /tamir
17:35:42 | [CMD] Berkay08(26) => /dtemizle
17:35:42 | {FFCC00}sezzer(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:35:42 | [CMD] Moskova_Kurdu(7) => /a Seneye orta 1 
17:35:50 | [CMD] sezzer(15) => /sa
17:35:50 | [CMD] turgut06(12) => /rescue
17:35:51 | nik0tin(11): o klasýktir büyümez 
17:35:51 | [CMD] Hic(10) => /kemer
17:35:51 | [CMD] sezzer(15) => /meslek
17:35:52 | [CMD] Berkay08(26) => /meslek
17:35:52 | [CMD] Moskova_Kurdu(7) => /a orta 1 zor mu? 
17:35:53 | [CMD] Konyali42(24) => /a
17:35:53 | [CMD] turgut06(12) => /goreviptal
17:35:53 | [CMD] Hic(10) => /as
17:35:54 | [CMD] Konyali42(24) => /as
17:35:55 | [CMD] turgut06(12) => /work
17:35:55 | [CMD] sezzer(15) => /karakol
17:35:56 | Berkay08(26) Oduncu olarak spawn oldu.
17:35:56 | [CMD] turgut06(12) => /work
17:35:57 | [CMD] Hic(10) => /meslek
17:35:57 | [CMD] sezzer(15) => /cezaode
17:35:58 | [CMD] turgut06(12) => /rescue
17:35:58 | [CMD] Berkay08(26) => /as
17:36:0 | [CMD] [eN]Overlord(9) => /kemer
17:36:0 | [CMD] sezzer(15) => /meslek
17:36:1 | @Ali(13): 1 saat önce büyüktü bende simdi kücük
17:36:2 | {FFCC00}sezzer(15) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
17:36:4 | 
17:36:4 | [CMD] @Ali(13) => /gorev
17:36:7 | [CMD] @Ali(13) => /gorev
17:36:7 | [CMD] nik0tin(11) => /a gerçekten mi diyon yoksa kafa mý buluyon 
17:36:7 | [CMD] Hic(10) => /rescue
17:36:9 | [CMD] @Ali(13) => /görev
17:36:10 | [CMD] sezzer(15) => /araba
17:36:11 | [CMD] @Ali(13) => /yardim
17:36:14 | [CMD] iYasinBey(14) => /kemer
17:36:16 | nik0tin(11):  /fontsize 
17:36:16 | [CMD] Moskova_Kurdu(7) => /a Yaw ne gerçeði :D 
17:36:17 | [CMD] turgut06(12) => /kemer
17:36:24 | [CMD] Moskova_Kurdu(7) => /a Almanca - Biyoloji 
17:36:24 | [CMD] iYasinBey(14) => /kemer
17:36:25 | [LOCAL]Hic(10): ben sürem
17:36:25 | [CMD] Hic(10) => /l ben sürem
17:36:32 | [LOCAL]Hic(10): ben sürem
17:36:32 | [CMD] Hic(10) => /l ben sürem
17:36:35 | [CMD] Berkay08(26) => /work
17:36:35 | turgut06(12):  /fontsize 0 yap bi
17:36:38 | [CMD] [eN]Overlord(9) => /k
17:36:39 | [CMD] @Ali(13) => /work
17:36:39 | [CMD] turgut06(12) => /work
17:36:41 | [CMD] [eN]Overlord(9) => /tamir
17:36:41 | [CMD] Hic(10) => /kemerr
17:36:42 | [CMD] [eN]Overlord(9) => /modifiye
17:36:43 | [CMD] Hic(10) => /work
17:36:45 | [CMD] Hic(10) => /kemer
17:36:46 | [CMD] Hic(10) => /asay Animasyonlara bakmak için /animlist yazmanýz yeterlidir...  
17:36:53 | [LOCAL]Hic(10): wrok geldimi ?
17:36:53 | [CMD] Hic(10) => /l wrok geldimi ?
17:36:58 | [CMD] emirhanertem(18) => /animlist
17:37:0 | [LOCAL]Hic(10): work*
17:37:0 | [CMD] Hic(10) => /l work*
17:37:3 | [LOCAL]gorkemu24(20): geldý full flats yap skor kasacam
17:37:3 | [CMD] gorkemu24(20) => /l geldý full flats yap skor kasacam
17:37:12 | [CMD] @Ali(13) => /modifiye
17:37:16 | [LOCAL]Hic(10): onun yerine ls gidek orda daha hýzlý skor kasýlýr.
17:37:16 | [CMD] Hic(10) => /l onun yerine ls gidek orda daha hýzlý skor kasýlýr.
17:37:18 | [CMD] Sahildeniz(16) => /work
17:37:19 | [CMD] emirhanertem(18) => /31
17:37:23 | [CMD] nik0tin(11) => /a biyoloji bok gibi :D 
17:37:24 | [CMD] Berkay08(26) => /asay istek þarkýnýz çalýnýyor.iyi oyunlar dileriz...
17:37:25 | [CMD] emirhanertem(18) => /31
17:37:26 | [CMD] [eN]Overlord(9) => /tamir
17:37:27 | [LOCAL]gorkemu24(20): gidelim
17:37:27 | [CMD] gorkemu24(20) => /l gidelim
17:37:29 | [LOCAL]Hic(10): onun yerine ls gidek orda daha hýzlý skor kasýlýr.
17:37:29 | [CMD] Hic(10) => /l onun yerine ls gidek orda daha hýzlý skor kasýlýr.
17:37:30 | [LOCAL]gorkemu24(20): gel
17:37:30 | [CMD] gorkemu24(20) => /l gel
17:37:32 | [CMD] gorkemu24(20) => /rescue
17:37:33 | [CMD] Hic(10) => /goreviptal
17:37:34 | [CMD] nik0tin(11) => /a lise 11 biyolojisiyle bok gibidir 
17:37:36 | [CMD] gorkemu24(20) => /rescue
17:37:36 | [CMD] Hic(10) => /rescue
17:37:38 | emirhanertem(18): ahahha animlist ne qwjdjqwdjqw
17:37:39 | Konyali42(24): mosko bas vermeyelim :D
17:37:43 | [CMD] Hic(10) => /asay Sunucuda istediðiniz þarkýnýn çalmasýný istiyorsan /isteksarki <id> þeklinde DJ'Lere iletebilirsin... 
17:37:46 | [CMD] Hic(10) => /kemer
17:37:48 | Konyali42(24): :D
17:37:50 | [CMD] Hic(10) => /work
17:37:51 | Moskova_Kurdu(7): 11 var bende
17:37:51 | [CMD] oktayacar(6) => /pagewsize
17:37:58 | [CMD] sezzer(15) => /meslek
17:37:59 | {FFCC00}sezzer(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:38:0 | [CMD] turgut06(12) => /kemer
17:38:0 | Konyali42(24): bendede 8 vardi
17:38:1 | [eN]Overlord(9): bak þu an vermediniz
17:38:3 | [CMD] sezzer(15) => /rescue
17:38:11 | [CMD] [eN]Overlord(9) => /araba
17:38:15 | [CMD] turgut06(12) => /tamir
17:38:15 | [CMD] sezzer(15) => /pm 24 dock geçiyom orda katýlýrým
17:38:19 | [CMD] Berkay08(26) => /work
17:38:22 | [CMD] Konyali42(24) => /pm 15 tmm cakal :D
17:38:27 | [CMD] [eN]Overlord(9) => /tamir
17:38:29 | oktayacar(6): admin
17:38:32 | Moskova_Kurdu(7): Evet
17:38:32 | [CMD] Berkay08(26) => /asay istek þarký için /isteksarki >id> yazýp bizlere iletebilirsiniz...
17:38:33 | [CMD] Berkay08(26) => /asay forum sayfamýz:www.trucksamp.com/forum
17:38:33 | Naber(17) oyuna girdi [IP: 85.109.75.196]
17:38:34 | [LOCAL]ozantr12345(23): oh be
17:38:34 | [CMD] ozantr12345(23) => /l oh be
17:38:34 | sezzer(15): araç res
17:38:35 | oktayacar(6): yanýma gelir miisn bi
17:38:35 | nik0tin(11): evet
17:38:38 | emirhanertem(18): mafyalar bekliyom asýrý yuklu týr rehber gel yanýma yol tarift et
17:38:38 | [CMD] nik0tin(11) => /asay Araç Res Geliyor ...    
17:38:39 | [CMD] nik0tin(11) => /asay Araç Res Geliyor ...    
17:38:40 | [CMD] nik0tin(11) => /asay Araç Res Geliyor ...    
17:38:40 | @Ali(13): moskava kurdu
17:38:43 | Moskova_Kurdu(7): Efm
17:38:43 | [CMD] nik0tin(11) => /respawncars 
17:38:43 | [CMD] nik0tin(11) => /cantazele 
17:38:44 | TheS1LKENAdam(19) oyuna girdi [IP: 31.206.181.125]
17:38:46 | @Ali(13): çeteye alsana
17:38:48 | [CMD] nik0tin(11) => /work 
17:38:50 | emirhanertem(18): mafyalar bekliyom asýrý yuklu týr rehber gel yanýma yol tarift et
17:38:50 | [CMD] [eN]Overlord(9) => /tamir
17:38:50 | ozantr12345(23): kargocu olacak
17:38:52 | [CMD] H.R.N.(25) => /geldim
17:38:53 | Hic(10): Çete yok þirket var
17:38:53 | oktayacar(6): yanýma gelir miisn bi adminlerden biri
17:38:55 | [CMD] nik0tin(11) => /work 
17:38:56 | [CMD] Hic(10) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler...  
17:38:56 | [CMD] ozantr12345(23) => /rescue
17:38:57 | Naber(17) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:38:57 | [CMD] gorkemu24(20) => /otur
17:38:59 | [CMD] H.R.N.(25) => /goto 6
17:38:59 | [CMD] Moskova_Kurdu(7) => /Fuel
17:38:59 | [CMD] gorkemu24(20) => /otur
17:39:1 | [CMD] Moskova_Kurdu(7) => /atamir
17:39:3 | 
17:39:3 | [CMD] ozantr12345(23) => /rescue
17:39:3 | nik0tin(11): sorun nedir 
17:39:6 | ozantr12345(23): kargocu olacak
17:39:6 | [LOCAL]oktayacar(6): bin bi
17:39:6 | [CMD] oktayacar(6) => /l bin bi
17:39:7 | emirhanertem(18): mafyalar bekliyom asýrý yuklu týr rehber gel yanýma yol tarift et
17:39:7 | ozantr12345(23): kargocu olacak
17:39:8 | [LOCAL]H.R.N.(25): ne vardý?
